wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36
437.17,,,,,,,,,0.482024,,,,,,,,,,,,,,,,,,,,,,,,,,,
438.16,,,,,,,,,0.628519,,,,,,,,,,,,,,,,,,,,,,,,,,,
439.179,,,,,,,,,0.810956,,,,,,,,,,,,,,,,,,,,,,,,,,,
439.2,,,0.000288076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,3.04183e-05,8.18349e-05,,6.02615e-05,,,,0.000136903,,0.000671996,4.78042e-05,4.00204e-05,1.06906e-05,1.16577e-05,2.58815e-06,7.07483e-06,3.59061e-05,4.77929e-05,7.67661e-05,,,,,,,,,,,,,,,,,
440.17,,,,,,,,,0.963823,,,,,,,,,,,,,,,,,,,,,,,,,,,
440.19,,,0.00022991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441.179,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
441.2,,,0.000294636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.16,,,,,,,,,0.997915,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.179,,,0.000318929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.17,,,,,,,,,0.993775,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.19,,,0.000381074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.179,,,,,,,,,0.974399,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.209,,,0.000495929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.17,,,,,,,,,0.900225,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2,,,0.000537689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.17,,,,,,,,,0.719177,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.19,,,0.000953406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.17,,,,,,,,,0.455352,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.19,,,0.00135005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.17,,,,,,,,,0.206819,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,,,0.00182792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.16,,,,,,,,,0.0825571,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.179,,,0.00264805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,3.12393e-05,6.59438e-05,,3.7497e-05,,,,4.44512e-05,,0.000979379,8.78144e-05,2.96627e-05,6.7283e-06,6.52241e-06,5.44044e-06,6.08916e-06,5.45109e-05,3.42226e-05,8.12374e-05,,,,,,,,,,,,,,,,,
450.179,,,,,,,,,0.0318704,,,,,,,,,,,,,,,,,,,,,,,,,,,
450.2,,,0.00450824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451.179,,,,,,,,,0.00867226,,,,,,,,,,,,,,,,,,,,,,,,,,,
451.2,,,0.0086487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452.179,,,,,,,,,0.00189406,,,,,,,,,,,,,,,,,,,,,,,,,,,
452.2,,,0.0178435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453.16,,,,,,,,,0.000560686,,,,,,,,,,,,,,,,,,,,,,,,,,,
453.179,,,0.0404898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454.17,,,,,,,,,0.000183055,,,,,,,,,,,,,,,,,,,,,,,,,,,
454.19,,,0.101683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455.179,,,,,,,,,8.02609e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
455.209,,,0.239842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456.19,,,0.449592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457.179,,,,,,,,,6.77328e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
457.2,,,0.691881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458.179,,,0.87658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459.19,,,0.975988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,4.15683e-05,5.22247e-05,,0.000113562,,,,0.00015214,8.19842e-05,0.0015824,0.000141136,6.56647e-05,7.39275e-06,9.41205e-06,4.47381e-06,5.72172e-06,9.15334e-05,3.52119e-05,6.40416e-05,,,,,,,,,,,,,,,,,
460.19,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461.179,,,0.969344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462.2,,,0.901278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463.209,,,0.845132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464.209,,,0.837311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465.2,,,0.843284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466.19,,,0.846415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467.2,,,0.860784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468.209,,,0.884946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469.179,,,0.911153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,2.78997e-05,4.44938e-05,,0.00196864,,,,0.000241266,2.87805e-05,0.00290369,0.000203361,0.000214465,8.92748e-06,5.34821e-06,3.7246e-06,7.88702e-06,3.68704e-05,3.31833e-05,6.33473e-05,,,,,,,,,,,,,,,,,
470.19,,,0.92919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471.2,,,0.917578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472.2,,,0.870342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473.17,,,,,,,,,,0.0021421,,,,,,,,,,,,,,,,,,,,,,,,,,
473.19,,,0.787985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474.17,,,,,,,,,,0.00237502,,,,,,,,,,,,,,,,,,,,,,,,,,
474.179,,,0.665293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475.17,,,,,,,,,,0.00285216,,,,,,,,,,,,,,,,,,,,,,,,,,
475.179,,,0.502695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476.17,,,,,,,,,,0.00410756,,,,,,,,,,,,,,,,,,,,,,,,,,
476.19,,,0.321345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477.179,,,,,,,,,,0.00885956,,,,,,,,,,,,,,,,,,,,,,,,,,
477.2,,,0.171332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478.179,,,,,,,,,,0.0271083,,,,,,,,,,,,,,,,,,,,,,,,,,
478.19,,,0.0784788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479.17,,,,,,,,,,0.0791932,,,,,,,,,,,,,,,,,,,,,,,,,,
479.19,,,0.0331535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,2.8752e-05,4.76805e-05,,0.00123476,,,,0.000447549,5.94487e-05,,0.000364824,0.000165336,5.01341e-06,2.88994e-06,2.65187e-06,3.29704e-06,4.43678e-05,3.43797e-05,4.25357e-05,,,,,,,,,,,,,,,,,
480.17,,,,,,,,,,0.183004,,,,,,,,,,,,,,,,,,,,,,,,,,
480.19,,,0.0144349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
