wavelength,B4,B5,B6,B7
449,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0
451,0.0,0.0,0.0,0.0
452,0.0,0.0,0.0,0.0
453,0.0006134969325153375,0.0,0.0,0.0
454,0.0014314928425357872,0.0,0.0,0.0
455,0.0016359918200408998,0.0,0.0,0.0
456,0.0020449897750511245,0.0,0.0,0.0
457,0.0026584867075664623,0.0,0.0,0.0
458,0.0030674846625766868,0.0,0.0,0.0
459,0.0032719836400817996,0.0,0.0,0.0
460,0.0032719836400817996,0.0,0.0,0.0
461,0.003067484662576687,0.0,0.0,0.0
462,0.003067484662576687,0.0,0.0,0.0
463,0.0028629856850715747,0.0,0.0,0.0
464,0.0028629856850715747,0.0,0.0,0.0
465,0.003067484662576687,0.0,0.0,0.0
466,0.003067484662576687,0.0,0.0,0.0
467,0.0032719836400817996,0.0,0.0,0.0
468,0.0032719836400817996,0.0,0.0,0.0
469,0.0032719836400817996,0.0,0.0,0.0
470,0.0032719836400817996,0.0,0.0,0.0
471,0.0032719836400817996,0.0,0.0,0.0
472,0.0032719836400817996,0.0,0.0,0.0
473,0.0032719836400817996,0.0,0.0,0.0
474,0.0032719836400817996,0.0,0.0,0.0
475,0.0027266530334014993,0.0,0.0,0.0
476,0.0027266530334014993,0.0,0.0,0.0
477,0.0027266530334014993,0.0,0.0,0.0
478,0.0027266530334014993,0.0,0.0,0.0
479,0.0028970688479890935,0.0,0.0,0.0
480,0.004942058623040217,0.0,0.0,0.0
481,0.008861622358554873,0.0,0.0,0.0
482,0.015678254942058625,0.0,0.0,0.0
483,0.022324471710974778,0.0,0.0,0.0
484,0.03851397409679618,0.0,0.0,0.0
485,0.051295160190865705,0.0,0.0,0.0
486,0.07668711656441717,0.0,0.0,0.0
487,0.0945807770961145,0.0,0.0,0.0
488,0.12525562372188137,0.0,0.0,0.0
489,0.15371506475800953,0.0,0.0,0.0
490,0.18745739604635306,0.0,0.0,0.0
491,0.2275051124744376,0.0,0.0,0.0
492,0.25869120654396727,0.0,0.0,0.0
493,0.29362644853442393,0.0,0.0,0.0
494,0.33384458077709606,0.0,0.0,0.0
495,0.37031356509884117,0.0,0.0,0.0
496,0.4320040899795501,0.0,0.0,0.0
497,0.4686434901158827,0.0,0.0,0.0
498,0.4861963190184049,0.0,0.0,0.0
499,0.5328902522154055,0.0,0.0,0.0
500,0.5665473755964553,0.0,0.0,0.0
501,0.5991820040899795,0.0,0.0,0.0
502,0.6311349693251532,0.0,0.0,0.0
503,0.6654737559645534,0.0,0.0,0.0
504,0.6979379686434899,0.0,0.0,0.0
505,0.721029311520109,0.0,0.0,0.0
506,0.7586912065439672,0.0,0.0,0.0
507,0.7915814587593727,0.0,0.0,0.0
508,0.8093047034764825,0.0,0.0,0.0
509,0.8316291751874574,0.0,0.0,0.0
510,0.8495228357191545,0.0,0.0,0.0
511,0.8595773687798226,0.0,0.0,0.0
512,0.8737218813905931,0.0,0.0,0.0
513,0.8883776414451261,0.0,0.0,0.0
514,0.9006475800954328,0.0,0.0,0.0
515,0.9120654396728015,0.0,0.0,0.0
516,0.921949556918882,0.0,0.0,0.0
517,0.9388207225630538,0.0,0.0,0.0
518,0.9451261077027947,0.0,0.0,0.0
519,0.9507498295841853,0.0,0.0,0.0
520,0.955521472392638,0.0,0.0,0.0
521,0.9570552147239262,0.0,0.0,0.0
522,0.9594410361281526,0.0,0.0,0.0
523,0.9609747784594408,0.0,0.0,0.0
524,0.9635310156782548,0.0,0.0,0.0
525,0.9647239263803681,0.0,0.0,0.0
526,0.967280163599182,0.0,0.0,0.0
527,0.968473074301295,0.0,0.0,0.0
528,0.9807430129516017,0.0,0.0,0.0
529,0.9884117246080435,0.0,0.0,0.0
530,0.9931833674164962,0.0,0.0,0.0
531,0.996591683708248,0.0,0.0,0.0
532,1.0,0.0,0.0,0.0
533,0.999147920927062,0.0,0.0,0.0
534,0.9976141785957736,0.0,0.0,0.0
535,0.9962508520790727,0.0,0.0,0.0
536,0.9940354464894342,0.0,0.0,0.0
537,0.9901158827539195,0.0,0.0,0.0
538,0.9858554873892297,0.0,0.0,0.0
539,0.9814246762099523,0.0,0.0,0.0
540,0.9785276073619631,0.0,0.0,0.0
541,0.9773346966598498,0.0,0.0,0.0
