wavelength,B4,B5,B6,B7
447,0.0,,,
448,0.0,,,
449,0.00910010111223458,,,
450,0.00455005055611729,,,
451,0.00455005055611729,,,
452,0.00505561172901921,,,
453,0.005561172901921132,,,
454,0.005561172901921132,,,
455,0.005561172901921132,,,
456,0.005561172901921132,,,
457,0.003707448601280755,,,
458,0.003707448601280755,,,
459,0.003707448601280755,,,
460,0.003707448601280755,,,
461,0.003538928210313448,,,
462,0.006319514661274015,,,
463,0.007330637007077856,,,
464,0.008088978766430738,,,
465,0.010111223458038422,,,
466,0.008493427704752277,,,
467,0.007920458375463431,,,
468,0.010448264239973038,,,
469,0.012301988540613413,,,
470,0.013818672059319179,,,
471,0.016346477923828782,,,
472,0.01887428378833839,,,
473,0.020728008088978768,,,
474,0.022750252780586455,,,
475,0.025783619817997983,,,
476,0.0284799460734749,,,
477,0.03319851702055949,,,
478,0.03842264914054601,,,
479,0.045163464779238285,,,
480,0.05392652510953826,,,
481,0.06403774856757669,,,
482,0.08088978766430738,,,
483,0.10128075497135156,,,
484,0.1270643747893495,,,
485,0.1675092686215032,,,
486,0.2023929895517358,,,
487,0.25210650488709135,,,
488,0.2949106841927873,,,
489,0.3166498146275699,,,
490,0.3614762386248736,,,
491,0.38658577687900236,,,
492,0.418773171553758,,,
493,0.4465790360633636,,,
494,0.47034041118975395,,,
495,0.4984833164812942,,,
496,0.5197168857431749,,,
497,0.5422986181327941,,,
498,0.5695989214694979,,,
499,0.5945399393326593,,,
500,0.6267273340074149,,,
501,0.6469497809234918,,,
502,0.6740815638692281,,,
503,0.6951466127401416,,,
504,0.7125042130097742,,,
505,0.7295247724974722,,,
506,0.7472194135490394,,,
507,0.7655881361644759,,,
508,0.7829457364341085,,,
509,0.8016514998314795,,,
510,0.818335018537243,,,
511,0.8299629255139872,,,
512,0.8429389956184699,,,
513,0.8554095045500505,,,
514,0.8663633299629255,,,
515,0.8732726659925851,,,
516,0.8823727671048196,,,
517,0.8904617458712504,,,
518,0.8988877654196159,,,
519,0.9069767441860467,,,
520,0.9138860802157062,,,
521,0.9211324570273004,,,
522,0.9261880687563195,,,
523,0.9339400067408156,,,
524,0.9378159757330636,,,
525,0.943377148634985,,,
526,0.9486012807549713,,,
527,0.9529828109201214,,,
528,0.9555106167846309,,,
529,0.9573643410852711,,,
530,0.9598921469497809,,,
531,0.9605662285136503,,,
532,0.9619143916413887,,,
533,0.9617458712504214,,,
534,0.961577350859454,,,
535,0.9610717896865519,,,
536,0.9612403100775195,,,
537,0.961071789686552,,,
538,0.9609032692955848,,,
539,0.9612403100775195,,,
540,0.9644421975058983,,,
541,0.9664644421975058,,,
542,0.970340411189754,,,
543,0.9743849005729693,,,
544,0.9782608695652173,,,
545,0.9839905628581059,,,
546,0.9897202561509942,,,
547,0.9935962251432424,,,
548,0.9962925513987192,0.0,,
549,0.9986518368722616,0.0,,
550,0.9996629592180655,0.0,,
551,1.0,0.0,,
552,0.9998314796090328,0.00025579809004092774,,
553,0.9998314796090327,0.00025579809004092774,,
554,0.9988203572632287,0.0005115961800818555,,
555,0.9981462756993597,0.0015347885402455662,,
556,0.9964610717896865,0.0023021828103683495,,
557,0.9937647455342096,0.0038369713506139153,,
558,0.9919110212335691,0.004860163710777627,,
559,0.9892146949780922,0.005371759890859482,,
560,0.987360970677452,0.005883356070941337,,
561,0.9866868891135828,0.005883356070941337,,
562,0.9860128075497134,0.005883356070941337,,
563,0.9868554095045501,0.005883356070941337,,
564,0.989046174587125,0.006139154160982265,,
565,0.9914054600606674,0.006650750341064121,,
566,0.9932591843613078,0.005883356070941337,,
567,0.9935962251432421,0.006394952251023193,,
568,0.995112908661948,0.006906548431105048,,
569,0.9954499494438828,0.005525238744884039,,
570,0.9949443882709808,0.005525238744884039,,
571,0.9942703067071116,0.005525238744884039,,
572,0.9937647455342097,0.005729877216916781,,
573,0.9932591843613078,0.006139154160982265,,
574,0.990731378496798,0.0065484311050477495,,
575,0.985170205594877,0.0067530695770804915,,
576,0.9770812268284463,0.007162346521145975,,
577,0.9691607684529828,0.007162346521145975,,
578,0.9585439838220424,0.007366984993178718,,
579,0.9428715874620829,0.00757162346521146,,
580,0.9275362318840581,0.008799454297407912,,
581,0.908830468486687,0.009208731241473396,,
582,0.8791708796764409,0.008867667121418827,,
583,0.8495112908661948,0.010061391541609824,,
584,0.8245702730030334,0.01057298772169168,,
585,0.79036063363667,0.011425648021828104,,
586,0.7601954836535221,0.013472032742155526,,
587,0.7258173238961916,0.015859481582537516,,
588,0.6868891135827434,0.018076398362892227,,
589,0.6523424334344454,0.02080491132332879,,
590,0.6107178968655207,0.024386084583901773,,
591,0.5717896865520729,0.02813778990450205,,
592,0.525278058645096,0.035641200545702585,,
593,0.482979440512302,0.04502046384720328,,
594,0.44506235254465787,0.05729877216916781,,
595,0.39585439838220426,0.06855388813096863,,
596,0.35069093360296594,0.08509549795361528,,
597,0.30653859116953147,0.15893587994542976,,
598,0.2708122682844624,0.18400409276944066,,
599,0.22834512976070104,0.28444747612551163,,
600,0.2007077856420627,0.3801159618008186,,
601,0.15655544320862827,0.4259890859481583,,
602,0.1370070778564206,0.4769781718963165,,
603,0.12403100775193798,0.5213165075034107,,
604,0.11223458038422648,0.5441678035470668,,
605,0.09959555106167846,0.5837312414733971,,
606,0.09218065385911695,0.6215893587994544,,
607,0.08426019548365352,0.641712141882674,,
608,0.07920458375463432,0.6742837653478855,,
609,0.07094708459723627,0.6944065484311049,,
610,0.0665655544320863,0.714017735334243,,
611,0.059824738793394,0.7385743519781718,,
612,0.05645433097404787,0.7535811732605731,,
613,0.05426356589147287,0.7743860845839018,,
614,0.052072800808897875,0.7986016371077763,,
615,0.04785979103471521,0.8178717598908596,,
616,0.04499494438827099,0.8321964529331513,,
617,0.042467138523761376,0.8483969986357435,,
618,0.04044489383215369,0.867837653478854,,
619,0.0382541287495787,0.8796043656207367,,
620,0.03673744523087294,0.8884720327421556,,
621,0.03454668014829795,0.902455661664393,,
622,0.03319851702055949,0.9133697135061392,,
623,0.031176272328951805,0.920361527967258,,
624,0.02847994607347489,0.9275238744884038,,
625,0.02696326255476912,0.9334924965893588,,
626,0.025952140208965285,0.938949522510232,,
627,0.024266936299292212,0.9490109140518419,,
628,0.023592854735422983,0.9560027285129605,,
629,0.022918773171553757,0.961118690313779,,
630,0.02173913043478261,0.9667462482946795,,
631,0.020896528479946073,0.9720327421555254,,
632,0.01954836535220762,0.976637107776262,,
633,0.017863161442534546,0.9836289222373806,,
634,0.016852039096730706,0.9884038199181447,,
635,0.014492753623188408,0.9913028649386086,,
636,0.01577350859453994,0.9942019099590724,,
637,0.014964610717896865,0.9979536152796727,,
638,0.012335692618806874,0.9982946793997273,,
639,0.009908998988877654,0.9988062755798092,,
640,0.009302325581395349,0.9984652114597546,,
641,0.011375126390293228,0.9986357435197819,,
642,0.010364004044489384,0.9994884038199183,,
643,0.009858442871587462,0.9996589358799454,,
644,0.009605662285136502,1.0,,
645,0.009605662285136502,0.9991473396998637,,
646,0.01314459049544995,0.9977830832196453,,
647,0.01314459049544995,0.9960777626193725,,
648,0.008088978766430738,0.995225102319236,,
649,0.006066734074823055,0.9940313778990453,,
650,0.00859453993933266,0.9928376534788541,,
651,0.008088978766430738,0.9913028649386085,,
652,0.012133468149646108,0.9889154160982264,0.0,
653,0.003033367037411527,0.9872100954979537,0.0033647375504710633,
654,0.0,0.9855047748976807,0.005383580080753701,
655,0.0,0.9834583901773534,0.005720053835800808,
656,,0.9834583901773535,0.00639300134589502,
657,,0.9817530695770804,0.004845222072678332,
658,,0.9815825375170532,0.005652759084791386,
659,,0.9815825375170532,0.007873485868102287,
660,,0.9788540245566166,0.009286675639300135,
661,,0.9751023192360164,0.010901749663526245,
662,,0.972544338335607,0.012920592193808884,
663,,0.9703274215552523,0.014737550471063258,
664,,0.9667462482946795,0.016756393001345894,
665,,0.9636766712141883,0.018371467025572005,
666,,0.959242837653479,0.020995962314939436,
667,,0.9558321964529333,0.023418573351278598,
668,,0.952762619372442,0.026850605652759086,
669,,0.9505457025920875,0.031090174966352625,
670,,0.94849931787176,0.0373485868102288,
671,,0.9452592087312416,0.04360699865410498,
672,,0.9428717598908596,0.041049798115746966,
673,,0.9415075034106414,0.05013458950201884,
674,,0.9398021828103686,0.062079407806191124,
675,,0.9386084583901775,0.0762113055181696,
676,,0.938949522510232,0.08899730820995963,
677,,0.9382673942701227,0.10043741588156126,
678,,0.9391200545702592,0.11288694481830419,
679,,0.9404843110504777,0.12701884253028264,
680,,0.9423601637107778,0.14535666218034995,
681,,0.9435538881309687,0.16150740242261102,
682,,0.9444065484311052,0.17984522207267833,
683,,0.9457708049113234,0.20339838492597578,
684,,0.9473055934515691,0.22341857335127865,
685,,0.949181446111869,0.25016823687752354,
686,,0.9507162346521146,0.2701884253028264,
687,,0.952762619372442,0.3080417227456258,
688,,0.9525920873124147,0.3553162853297443,
689,,0.9508867667121418,0.3869448183041722,
690,,0.9467939972714868,0.41251682368775233,
691,,0.9403137789904503,0.4475100942126514,
692,,0.9280354706684858,0.4883916554508748,
693,,0.9227489768076398,0.5149730820995964,
694,,0.9063778990450204,0.5529946164199192,
695,,0.888130968622101,0.5868102288021535,
696,,0.8610163710777626,0.6194481830417227,
697,,0.8419167803547069,0.645020188425303,
698,,0.790075034106412,0.6690780619111709,
699,,0.7181105047748976,0.6976783310901749,
700,,0.6768417462482946,0.723250336473755,
701,,0.6521145975443384,0.7511776581426648,
702,,0.6134038199181446,0.7792732166890983,
703,,0.5719645293315144,0.7979475100942127,
704,,0.5325716234652116,0.8220053835800807,
705,,0.47697817189631647,0.8526244952893673,
706,,0.42718281036834926,0.8758411843876177,
707,,0.3729536152796726,0.890814266487214,
708,,0.3495907230559346,0.9044414535666216,
709,,0.3134379263301501,0.9212651413189771,
710,,0.2830832196452933,0.9347240915208614,
711,,0.23124147339699863,0.9480148048452219,
712,,0.2013983628922237,0.960464333781965,
713,,0.1732605729877217,0.9695491251682369,
714,,0.1388130968622101,0.9781292059219381,
