wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36
3819.4,,,,,,,,,,,,,,,,,,,,0.92148,,,,,,,,,,,,,,,,
3829.4,,,,,,,,,,,,,,,,,,,,0.9796,,,,,,,,,,,,,,,,
3839.5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
3849.3,,,,,,,,,,,,,,,,,,,,0.9951,,,,,,,,,,,,,,,,
3850,,,,,0.000179,9.3e-06,4.91e-06,,,,,,,,,,,,,,0.00441,0.00598,0.000783,8.74e-06,1.98e-05,7.15e-05,5.17e-05,6.72e-06,1.14e-05,0.000266,0.000238,7.49e-05,0.000197,0.000271,0.000499,0.00019
3859.4,,,,,,,,,,,,,,,,,,,,0.84108,,,,,,,,,,,,,,,,
3869.4,,,,,,,,,,,,,,,,,,,,0.52453,,,,,,,,,,,,,,,,
3879.4,,,,,,,,,,,,,,,,,,,,0.30009,,,,,,,,,,,,,,,,
3882.5,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,
3885.4,,,,,,,,,,,,,,,,,,,,,,0.01235,,,,,,,,,,,,,,
3889.5,,,,,,,,,,,,,,,,,,,,0.18784,,,,,,,,,,,,,,,,
3890.2,,,,,,,,,,,,,,,,,,,,,,0.01717,,,,,,,,,,,,,,
3894.1,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,
3895.2,,,,,,,,,,,,,,,,,,,,,0.01082,0.0262,,,,,,,,,,,,,,
3899.5,,,,,,,,,,,,,,,,,,,,0.11496,,,,,,,,,,,,,,,,
3900,,,,,9.95e-05,9.61e-06,1.26e-06,,,,,,,,,,,,,,,,0.00182,1.2e-05,1.46e-05,0.00015,6.16e-05,8.64e-05,0.000312,0.000231,3.55e-05,0.000178,0.00015,0.000268,0.0002,9.38e-06
3900.2,,,,,,,,,,,,,,,,,,,,,0.0172,0.04161,,,,,,,,,,,,,,
3905.2,,,,,,,,,,,,,,,,,,,,,0.02801,0.06758,,,,,,,,,,,,,,
3909.4,,,,,,,,,,,,,,,,,,,,0.06497,,,,,,,,,,,,,,,,
3910.3,,,,,,,,,,,,,,,,,,,,,0.04627,,,,,,,,,,,,,,,
3910.4,,,,,,,,,,,,,,,,,,,,,,0.11389,,,,,,,,,,,,,,
3915.2,,,,,,,,,,,,,,,,,,,,,0.07387,,,,,,,,,,,,,,,
3915.3,,,,,,,,,,,,,,,,,,,,,,0.17979,,,,,,,,,,,,,,
3919.5,,,,,,,,,,,,,,,,,,,,0.0313,,,,,,,,,,,,,,,,
3920.2,,,,,,,,,,,,,,,,,,,,,0.11363,0.2719,,,,,,,,,,,,,,
3925.3,,,,,,,,,,,,,,,,,,,,,0.17839,0.38775,,,,,,,,,,,,,,
3929.5,,,,,,,,,,,,,,,,,,,,0.01961,,,,,,,,,,,,,,,,
3930.3,,,,,,,,,,,,,,,,,,,,,0.26634,,,,,,,,,,,,,,,
3930.4,,,,,,,,,,,,,,,,,,,,,,0.51292,,,,,,,,,,,,,,
3935.2,,,,,,,,,,,,,,,,,,,,,0.3745,,,,,,,,,,,,,,,
3935.3,,,,,,,,,,,,,,,,,,,,,,0.63531,,,,,,,,,,,,,,
3939.4,,,,,,,,,,,,,,,,,,,,0.01482,,,,,,,,,,,,,,,,
3940.3,,,,,,,,,,,,,,,,,,,,,0.51767,0.76293,,,,,,,,,,,,,,
3945.3,,,,,,,,,,,,,,,,,,,,,0.66779,,,,,,,,,,,,,,,
3945.4,,,,,,,,,,,,,,,,,,,,,,0.87058,,,,,,,,,,,,,,
3949.5,,,,,,,,,,,,,,,,,,,,0.0109,,,,,,,,,,,,,,,,
3950,,,,,5.28e-05,6.41e-06,9.7e-06,,,,,,,,,,,,,,,,0.0124,1.78e-05,2.25e-05,0.000176,4.49e-05,8.23e-06,2.87e-05,0.000274,0.000268,0.00024,0.000107,0.000243,0.000275,0.000364
3950.2,,,,,,,,,,,,,,,,,,,,,0.78755,0.93915,,,,,,,,,,,,,,
3952.8,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,
3955.2,,,,,,,,,,,,,,,,,,,,,0.88436,,,,,,,,,,,,,,,
3955.3,,,,,,,,,,,,,,,,,,,,,,0.98278,,,,,,,,,,,,,,
3960.3,,,,,,,,,,,,,,,,,,,,,0.94822,1,,,,,,,,,,,,,,
3965.3,,,,,,,,,,,,,,,,,,,,,0.97774,,,,,,,,,,,,,,,
3965.4,,,,,,,,,,,,,,,,,,,,,,0.98224,,,,,,,,,,,,,,
3970.2,,,,,,,,,,,,,,,,,,,,,0.98831,0.94503,,,,,,,,,,,,,,
3970.4,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
3974.5,,,,,,,,,,,,,,,,,,,,,,,0.01413,,,,,,,,,,,,,
3975.3,,,,,,,,,,,,,,,,,,,,,0.99751,0.90784,,,,,,,,,,,,,,
3979.6,,,,,,,,,,,,,,,,,,,,,,,0.02059,,,,,,,,,,,,,
3980.4,,,,,,,,,,,,,,,,,,,,,1,0.89782,,,,,,,,,,,,,,
3984.5,,,,,,,,,,,,,,,,,,,,,,,0.02924,,,,,,,,,,,,,
3985.3,,,,,,,,,,,,,,,,,,,,,0.99607,0.92817,,,,,,,,,,,,,,
3989.7,,,,,,,,,,,,,,,,,,,,,,,0.04093,,,,,,,,,,,,,
3990.2,,,,,,,,,,,,,,,,,,,,,0.98871,0.96266,,,,,,,,,,,,,,
3994.6,,,,,,,,,,,,,,,,,,,,,,,0.05832,,,,,,,,,,,,,
3995.3,,,,,,,,,,,,,,,,,,,,,0.97699,,,,,,,,,,,,,,,
3995.4,,,,,,,,,,,,,,,,,,,,,,0.98972,,,,,,,,,,,,,,
3999.5,,,,,,,,,,,,,,,,,,,,,,,0.08896,,,,,,,,,,,,,
4000,,,,,8.95e-05,1.3e-05,2.24e-05,,,,,,,,,,,,,0.00284,,,,2.06e-05,2.83e-05,0.000257,8.8e-05,0.000129,6.39e-05,0.000316,0.000179,7.38e-05,1.28e-05,0.000462,0.000152,0.000388
4000.3,,,,,,,,,,,,,,,,,,,,,0.94897,0.96283,,,,,,,,,,,,,,
4004.5,,,,,,,,,,,,,,,,,,,,,,,0.13963,,,,,,,,,,,,,
4005.3,,,,,,,,,,,,,,,,,,,,,0.91579,0.84296,,,,,,,,,,,,,,
4009.5,,,,,,,,,,,,,,,,,,,,,,,0.22743,,,,,,,,,,,,,
4010.3,,,,,,,,,,,,,,,,,,,,,0.8512,0.66684,,,,,,,,,,,,,,
4014.5,,,,,,,,,,,,,,,,,,,,,,,0.35974,,,,,,,,,,,,,
4015.3,,,,,,,,,,,,,,,,,,,,,0.76042,0.49078,,,,,,,,,,,,,,
4019.6,,,,,,,,,,,,,,,,,,,,,,,0.52886,,,,,,,,,,,,,
4020.3,,,,,,,,,,,,,,,,,,,,,0.63575,,,,,,,,,,,,,,,
4020.4,,,,,,,,,,,,,,,,,,,,,,0.33833,,,,,,,,,,,,,,
4024.6,,,,,,,,,,,,,,,,,,,,,,,0.7141,,,,,,,,,,,,,
4025.2,,,,,,,,,,,,,,,,,,,,,0.49262,0.22157,,,,,,,,,,,,,,
4029.7,,,,,,,,,,,,,,,,,,,,,,,0.85777,,,,,,,,,,,,,
4030.2,,,,,,,,,,,,,,,,,,,,,0.34933,,,,,,,,,,,,,,,
4030.3,,,,,,,,,,,,,,,,,,,,,,0.1272,,,,,,,,,,,,,,
4034.5,,,,,,,,,,,,,,,,,,,,,,,0.93249,,,,,,,,,,,,,
4035.3,,,,,,,,,,,,,,,,,,,,,0.23142,,,,,,,,,,,,,,,
4035.4,,,,,,,,,,,,,,,,,,,,,,0.06608,,,,,,,,,,,,,,
4039.6,,,,,,,,,,,,,,,,,,,,,,,0.95651,,,,,,,,,,,,,
4040.2,,,,,,,,,,,,,,,,,,,,,0.1412,0.03624,,,,,,,,,,,,,,
4044.5,,,,,,,,,,,,,,,,,,,,,,,0.96154,,,,,,,,,,,,,
4045.3,,,,,,,,,,,,,,,,,,,,,0.08259,,,,,,,,,,,,,,,
4045.4,,,,,,,,,,,,,,,,,,,,,,0.02126,,,,,,,,,,,,,,
4049.6,,,,,,,,,,,,,,,,,,,,,,,0.96326,,,,,,,,,,,,,
4050,,,,,0.00022,4.16e-05,2.6e-05,,,,,,,,,,,,,0.000914,,,,2.78e-05,2.49e-05,0.000281,0.000281,0.000119,0.000227,0.000179,0.000158,2.05e-05,0.000317,0.000101,9.29e-05,0.000409
4050.2,,,,,,,,,,,,,,,,,,,,,0.0496,0.01534,,,,,,,,,,,,,,
4054.5,,,,,,,,,,,,,,,,,,,,,,,0.97369,,,,,,,,,,,,,
4055.3,,,,,,,,,,,,,,,,,,,,,0.02956,0.01,,,,,,,,,,,,,,
4059.7,,,,,,,,,,,,,,,,,,,,,,,0.98039,,,,,,,,,,,,,
4060.2,,,,,,,,,,,,,,,,,,,,,0.02042,,,,,,,,,,,,,,,
4064.6,,,,,,,,,,,,,,,,,,,,,,,0.98965,,,,,,,,,,,,,
4065.3,,,,,,,,,,,,,,,,,,,,,0.01365,,,,,,,,,,,,,,,
4069.7,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
4070.2,,,,,,,,,,,,,,,,,,,,,0.01028,,,,,,,,,,,,,,,
4070.8,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,
4074.6,,,,,,,,,,,,,,,,,,,,,,,0.99535,,,,,,,,,,,,,
4079.7,,,,,,,,,,,,,,,,,,,,,,,0.99127,,,,,,,,,,,,,
