wavelength,Oa01,Oa02,Oa03,Oa04,Oa05,Oa06,Oa07,Oa08,Oa09,Oa10,Oa11,Oa12,Oa13,Oa14,Oa15,Oa16,Oa17,Oa18,Oa19,Oa20,Oa21
398.7192688,0.8068540096,,,,,,,,,,,,,,,,,,,,
398.8372192,0.8161548972,,,,,,,,,,,,,,,,,,,,
398.9552917,0.8247689605,,,,,,,,,,,,,,,,,,,,
399.0736084,0.8323889971,,,,,,,,,,,,,,,,,,,,
399.1919556,0.8390572667,,,,,,,,,,,,,,,,,,,,
399.3103027,0.8451717496,,,,,,,,,,,,,,,,,,,,
399.4287415,0.851290524,,,,,,,,,,,,,,,,,,,,
399.5466614,0.8579764962,,,,,,,,,,,,,,,,,,,,
399.6646729,0.865582943,,,,,,,,,,,,,,,,,,,,
399.7830811,0.8741198778,,,,,,,,,,,,,,,,,,,,
399.9015503,0.8832220435,,,,,,,,,,,,,,,,,,,,
400.0199585,0.8923082352,,,,,,,,,,,,,,,,,,,,
400.1383362,0.9006630182,,,,,,,,,,,,,,,,,,,,
400.2566833,0.9077937603,,,,,,,,,,,,,,,,,,,,
400.3748169,0.9132168889,,,,,,,,,,,,,,,,,,,,
400.4929504,0.9170727134,,,,,,,,,,,,,,,,,,,,
400.6105652,0.9199526906,,,,,,,,,,,,,,,,,,,,
400.7284546,0.9225222468,,,,,,,,,,,,,,,,,,,,
400.8464966,0.9252819419,,,,,,,,,,,,,,,,,,,,
400.9645081,0.9284045696,,,,,,,,,,,,,,,,,,,,
401.0823669,0.9319386482,,,,,,,,,,,,,,,,,,,,
401.20047,0.9354471564,,,,,,,,,,,,,,,,,,,,
401.3186951,0.9382453561,,,,,,,,,,,,,,,,,,,,
401.4370728,0.9398514628,,,,,,,,,,,,,,,,,,,,
401.5554504,0.9403864741,,,,,,,,,,,,,,,,,,,,
401.6734009,0.9401031733,,,,,,,,,,,,,,,,,,,,
401.7915955,0.9395586848,,,,,,,,,,,,,,,,,,,,
401.9099426,0.939442277,,,,,,,,,,,,,,,,,,,,
402.0283508,0.9403241277,,,,,,,,,,,,,,,,,,,,
402.1468506,0.942463696,,,,,,,,,,,,,,,,,,,,
402.2651978,0.94571805,,,,,,,,,,,,,,,,,,,,
402.3834534,0.9495829344,,,,,,,,,,,,,,,,,,,,
402.501709,0.9533691406,,,,,,,,,,,,,,,,,,,,
402.6012878,,1.982026626e-10,,,,,,,,,,,,,,,,,,,
402.619812,0.956433773,,,,,,,,,,,,,,,,,,,,
402.695282,,4.267287357e-10,,,,,,,,,,,,,,,,,,,
402.7376709,0.9584049582,,,,,,,,,,,,,,,,,,,,
402.7880554,,9.07201092e-10,,,,,,,,,,,,,,,,,,,
402.8555298,0.9593042731,,,,,,,,,,,,,,,,,,,,
402.8828735,,1.904433056e-09,,,,,,,,,,,,,,,,,,,
402.9734802,0.9595397711,,,,,,,,,,,,,,,,,,,,
402.9766541,,3.947666638e-09,,,,,,,,,,,,,,,,,,,
403.0705872,,8.080300873e-09,,,,,,,,,,,,,,,,,,,
403.0915527,0.9597671032,,,,,,,,,,,,,,,,,,,,
403.1634827,,1.63315157e-08,,,,,,,,,,,,,,,,,,,
403.2095642,0.9606335163,,,,,,,,,,,,,,,,,,,,
403.2579956,,3.259361847e-08,,,,,,,,,,,,,,,,,,,
