wavelength,B1,B2,B3,B4
471,0.001,,,
472,0.005,,,
473,0.007,,,
474,0.009,,,
475,0.01,,,
476,0.013,,,
477,0.018,,,
478,0.019,,,
479,0.021,,,
480,0.024,,,
481,0.031,,,
482,0.047,,,
483,0.06,,,
484,0.085,,,
485,0.102,,,
486,0.12,,,
487,0.147,,,
488,0.162,,,
489,0.177,,,
490,0.193,,,
491,0.228,,,
492,0.274,,,
493,0.312,,,
494,0.342,,,
495,0.381,,,
496,0.434,,,
497,0.485,,,
498,0.517,,,
499,0.565,,,
500,0.604,,,
501,0.643,,,
502,0.669,,,
503,0.685,,,
504,0.702,,,
505,0.729,,,
506,0.74,,,
507,0.758,,,
508,0.778,,,
509,0.797,,,
510,0.812,,,
511,0.828,,,
512,0.837,,,
513,0.847,,,
514,0.852,,,
515,0.857,,,
516,0.865,,,
517,0.871,,,
518,0.875,,,
519,0.879,,,
520,0.885,,,
521,0.895,,,
522,0.903,,,
523,0.91,,,
524,0.917,,,
525,0.925,,,
526,0.933,,,
527,0.939,,,
528,0.944,,,
529,0.953,,,
530,0.959,,,
531,0.962,,,
532,0.965,,,
533,0.967,,,
534,0.965,,,
535,0.964,,,
536,0.964,,,
537,0.963,,,
538,0.962,,,
539,0.961,,,
540,0.959,,,
541,0.958,,,
542,0.959,,,
543,0.963,,,
544,0.967,,,
545,0.971,,,
546,0.977,,,
547,0.981,,,
548,0.984,,,
549,0.986,,,
550,0.989,,,
551,0.99,,,
552,0.991,,,
553,0.99,,,
554,0.987,,,
555,0.984,,,
556,0.981,,,
557,0.979,,,
558,0.976,,,
559,0.974,,,
560,0.971,,,
561,0.97,,,
562,0.969,,,
563,0.969,,,
564,0.968,,,
565,0.967,,,
566,0.965,,,
567,0.965,,,
568,0.965,,,
569,0.964,,,
570,0.963,,,
571,0.96,,,
572,0.956,,,
573,0.953,,,
574,0.947,,,
575,0.941,,,
576,0.937,,,
577,0.932,,,
578,0.926,,,
579,0.921,,,
580,0.919,0.001,,
581,0.916,0.001,,
582,0.916,0.01,,
583,0.916,0.014,,
584,0.917,0.015,,
585,0.919,0.018,,
586,0.921,0.023,,
587,0.922,0.028,,
588,0.924,0.037,,
589,0.925,0.05,,
590,0.921,0.082,,
591,0.906,0.116,,
592,0.891,0.142,,
593,0.874,0.175,,
594,0.862,0.213,,
595,0.838,0.247,,
596,0.812,0.278,,
597,0.793,0.315,,
598,0.77,0.358,,
599,0.748,0.396,,
600,0.719,0.429,,
601,0.693,0.467,,
602,0.663,0.511,,
603,0.631,0.543,,
604,0.602,0.59,,
605,0.566,0.63,,
606,0.533,0.661,,
607,0.497,0.702,,
608,0.46,0.74,,
609,0.437,0.769,,
610,0.398,0.795,,
611,0.364,0.816,,
612,0.338,0.833,,
613,0.311,0.846,,
614,0.285,0.862,,
615,0.244,0.873,,
616,0.211,0.889,,
617,0.187,0.899,,
618,0.159,0.916,,
619,0.132,0.93,,
620,0.103,0.94,,
621,0.092,0.946,,
622,0.082,0.949,,
623,0.072,0.953,,
624,0.066,0.959,,
625,0.063,0.963,,
626,0.058,0.967,,
627,0.053,0.97,,
628,0.046,0.976,,
629,0.04,0.979,,
630,0.038,0.981,,
631,0.035,0.982,,
632,0.033,0.984,,
633,0.03,0.986,,
634,0.028,0.988,,
635,0.026,0.99,,
636,0.023,0.991,,
637,0.021,0.992,,
638,0.019,0.992,,
639,0.018,0.991,,
640,0.017,0.99,,
641,0.015,0.987,,
642,0.014,0.982,,
643,0.012,0.98,,
644,0.012,0.976,,
645,0.012,0.972,,
646,0.012,0.968,,
647,0.005,0.963,,
648,0.004,0.958,,
649,0.0,0.954,,
650,0.0,0.948,,
651,,0.946,,
652,,0.943,,
653,,0.94,,
654,,0.936,,
655,,0.931,,
656,,0.927,,
657,,0.924,,
658,,0.92,,
659,,0.916,,
660,,0.913,,
661,,0.911,,
662,,0.908,,
663,,0.906,,
664,,0.903,,
665,,0.898,,
666,,0.896,,
667,,0.893,,
