wavelength,Oa01,Oa02,Oa03,Oa04,Oa05,Oa06,Oa07,Oa08,Oa09,Oa10,Oa11,Oa12,Oa13,Oa14,Oa15,Oa16,Oa17,Oa18,Oa19,Oa20,Oa21
398.7521362,0.8417448997,,,,,,,,,,,,,,,,,,,,
398.8704834,0.8478987813,,,,,,,,,,,,,,,,,,,,
398.9888916,0.8537930846,,,,,,,,,,,,,,,,,,,,
399.1072388,0.8594514132,,,,,,,,,,,,,,,,,,,,
399.2252502,0.8649501801,,,,,,,,,,,,,,,,,,,,
399.3435364,0.8704262972,,,,,,,,,,,,,,,,,,,,
399.4618835,0.8760244846,,,,,,,,,,,,,,,,,,,,
399.5803833,0.881812036,,,,,,,,,,,,,,,,,,,,
399.6986389,0.8877689242,,,,,,,,,,,,,,,,,,,,
399.8170471,0.8937746286,,,,,,,,,,,,,,,,,,,,
399.9354248,0.899690032,,,,,,,,,,,,,,,,,,,,
400.0535889,0.9053702354,,,,,,,,,,,,,,,,,,,,
400.171936,0.9106315374,,,,,,,,,,,,,,,,,,,,
400.2901917,0.9152647257,,,,,,,,,,,,,,,,,,,,
400.4086609,0.9193293452,,,,,,,,,,,,,,,,,,,,
400.5270996,0.9229076505,,,,,,,,,,,,,,,,,,,,
400.6454468,0.9261640906,,,,,,,,,,,,,,,,,,,,
400.7638855,0.9291799068,,,,,,,,,,,,,,,,,,,,
400.8823547,0.9320150018,,,,,,,,,,,,,,,,,,,,
401.0007324,0.9347399473,,,,,,,,,,,,,,,,,,,,
401.1190491,0.9372367263,,,,,,,,,,,,,,,,,,,,
401.2373657,0.9394463897,,,,,,,,,,,,,,,,,,,,
401.3556824,0.9412602782,,,,,,,,,,,,,,,,,,,,
401.4740295,0.9426721931,,,,,,,,,,,,,,,,,,,,
401.5923767,0.943857491,,,,,,,,,,,,,,,,,,,,
401.7106323,0.9450162053,,,,,,,,,,,,,,,,,,,,
401.8290405,0.9463549852,,,,,,,,,,,,,,,,,,,,
401.9475098,0.9480333328,,,,,,,,,,,,,,,,,,,,
402.0657959,0.9501165152,,,,,,,,,,,,,,,,,,,,
402.1838379,0.9525412321,,,,,,,,,,,,,,,,,,,,
402.3018799,0.9551531076,,,,,,,,,,,,,,,,,,,,
402.4202576,0.9577327967,,,,,,,,,,,,,,,,,,,,
402.5324402,,8.552654407e-08,,,,,,,,,,,,,,,,,,,
402.5386047,0.960101366,,,,,,,,,,,,,,,,,,,,
402.6268921,,1.453907146e-07,,,,,,,,,,,,,,,,,,,
402.6570129,0.9621458054,,,,,,,,,,,,,,,,,,,,
402.7208252,,2.449345402e-07,,,,,,,,,,,,,,,,,,,
402.7754517,0.9638935328,,,,,,,,,,,,,,,,,,,,
402.8148193,,4.089335732e-07,,,,,,,,,,,,,,,,,,,
402.8939209,0.9654589295,,,,,,,,,,,,,,,,,,,,
402.9077454,,6.766371712e-07,,,,,,,,,,,,,,,,,,,
403.0021667,,1.10961173e-06,,,,,,,,,,,,,,,,,,,
403.0123596,0.9670491815,,,,,,,,,,,,,,,,,,,,
403.0961609,,1.803494797e-06,,,,,,,,,,,,,,,,,,,
403.1307678,0.9688475728,,,,,,,,,,,,,,,,,,,,
403.1900024,,2.905396286e-06,,,,,,,,,,,,,,,,,,,
403.249176,0.970975399,,,,,,,,,,,,,,,,,,,,
403.2828674,,4.639428425e-06,,,,,,,,,,,,,,,,,,,
403.3676147,0.973443985,,,,,,,,,,,,,,,,,,,,
