wavelength,B4,B5,B6,B7
450,0.0,0.0,0.0,0.0
451,0.0,0.0,0.0,0.0
452,0.0,0.0,0.0,0.0
453,0.0013684570646595963,0.0,0.0,0.0
454,0.0017105713308244953,0.0,0.0,0.0
455,0.0037632569278138895,0.0,0.0,0.0
456,0.004618542593226138,0.0,0.0,0.0
457,0.00369483407458091,0.0,0.0,0.0
458,0.003250085528566541,0.0,0.0,0.0
459,0.003250085528566541,0.0,0.0,0.0
460,0.0034211426616489907,0.0,0.0,0.0
461,0.0035921997947314403,0.0,0.0,0.0
462,0.00376325692781389,0.0,0.0,0.0
463,0.00393431406089634,0.0,0.0,0.0
464,0.004105371193978789,0.0,0.0,0.0
465,0.004105371193978789,0.0,0.0,0.0
466,0.004276428327061238,0.0,0.0,0.0
467,0.004276428327061238,0.0,0.0,0.0
468,0.004447485460143688,0.0,0.0,0.0
469,0.004447485460143688,0.0,0.0,0.0
470,0.004618542593226137,0.0,0.0,0.0
471,0.004618542593226137,0.0,0.0,0.0
472,0.0049606568593910366,0.0,0.0,0.0
473,0.004789599726308587,0.0,0.0,0.0
474,0.0049606568593910366,0.0,0.0,0.0
475,0.005131713992473486,0.0,0.0,0.0
476,0.005302771125555935,0.0,0.0,0.0
477,0.005644885391720835,0.0,0.0,0.0
478,0.006671228190215533,0.0,0.0,0.0
479,0.008381799521040028,0.0,0.0,0.0
480,0.010092370851864521,0.0,0.0,0.0
481,0.012658227848101266,0.0,0.0,0.0
482,0.01744782757440985,0.0,0.0,0.0
483,0.02309271296613069,0.0,0.0,0.0
484,0.034211426616489904,0.0,0.0,0.0
485,0.04858022579541567,0.0,0.0,0.0
486,0.05867259664728019,0.0,0.0,0.0
487,0.08073896681491617,0.0,0.0,0.0
488,0.09818679438932604,0.0,0.0,0.0
489,0.10930550803968528,0.0,0.0,0.0
490,0.13479302086897021,0.0,0.0,0.0
491,0.160964762230585,0.0,0.0,0.0
492,0.18850496065685937,0.0,0.0,0.0
493,0.2114266164899076,0.0,0.0,0.0
494,0.23554567225453302,0.0,0.0,0.0
495,0.25829627095449875,0.0,0.0,0.0
496,0.2808758125213821,0.0,0.0,0.0
497,0.3024290112897708,0.0,0.0,0.0
498,0.3280875812521382,0.0,0.0,0.0
499,0.35049606568593905,0.0,0.0,0.0
500,0.3735887786520697,0.0,0.0,0.0
501,0.4100239479986315,0.0,0.0,0.0
502,0.4459459459459459,0.0,0.0,0.0
503,0.4741703729045501,0.0,0.0,0.0
504,0.5039343140608964,0.0,0.0,0.0
505,0.5427642832706124,0.0,0.0,0.0
506,0.579199452617174,0.0,0.0,0.0
507,0.6075949367088607,0.0,0.0,0.0
508,0.6484775915155662,0.0,0.0,0.0
509,0.6828600752651385,0.0,0.0,0.0
510,0.6980841601094765,0.0,0.0,0.0
511,0.7251111871365036,0.0,0.0,0.0
512,0.7565856996236743,0.0,0.0,0.0
513,0.7779678412589804,0.0,0.0,0.0
514,0.8031132398221004,0.0,0.0,0.0
