wavelength,B1,B2,B3,B4,B5,B6,B7
410,0.0,,,,,,
411,0.0,,,,,,
412,0.0005,,,,,,
413,0.0006,,,,,,
414,0.0006,,,,,,
415,0.0007,,,,,,
416,0.0007,,,,,,
417,0.0008,,,,,,
418,0.0008,,,,,,
419,0.0009,,,,,,
420,0.0009,,,,,,
421,0.001,,,,,,
422,0.001,,,,,,
423,0.0011,,,,,,
424,0.0012,,,,,,
425,0.0012,,,,,,
426,0.0016,,,,,,
427,0.002,,,,,,
428,0.0024,,,,,,
429,0.0028,,,,,,
430,0.0032,,,,,,
431,0.0051,,,,,,
432,0.0072,,,,,,
433,0.0103,,,,,,
434,0.0134,,,,,,
435,0.0166,,,,,,
436,0.0199,,,,,,
437,0.0252,,,,,,
438,0.031,,,,,,
439,0.0367,,,,,,
440,0.0421,,,,,,
441,0.0476,,,,,,
442,0.0531,,,,,,
443,0.0588,,,,,,
444,0.0645,,,,,,
445,0.0704,,,,,,
446,0.0827,,,,,,
447,0.1213,,,,,,
448,0.1725,,,,,,
449,0.273,,,,,,
450,0.3718,,,,,,
451,0.4425,,,,,,
452,0.5142,,,,,,
453,0.5788,,,,,,
454,0.6268,,,,,,
455,0.7114,,,,,,
456,0.7318,,,,,,
457,0.7415,,,,,,
458,0.751,,,,,,
459,0.755,,,,,,
460,0.7564,,,,,,
461,0.7663,,,,,,
462,0.7763,,,,,,
463,0.7876,,,,,,
464,0.7965,,,,,,
465,0.8076,,,,,,
466,0.8117,,,,,,
467,0.8168,,,,,,
468,0.8219,,,,,,
469,0.8266,,,,,,
470,0.8288,,,,,,
471,0.8309,,,,,,
472,0.8331,,,,,,
473,0.8351,,,,,,
474,0.8383,,,,,,
475,0.8457,,,,,,
476,0.8532,,,,,,
477,0.8607,,,,,,
478,0.8682,,,,,,
479,0.8758,,,,,,
480,0.8835,,,,,,
481,0.886,,,,,,
482,0.8885,,,,,,
483,0.891,,,,,,
484,0.8934,,,,,,
485,0.8959,,,,,,
486,0.8983,,,,,,
487,0.9007,,,,,,
488,0.9031,,,,,,
489,0.9054,,,,,,
490,0.9078,,,,,,
491,0.9179,,,,,,
492,0.9281,,,,,,
493,0.9384,,,,,,
494,0.9476,,,,,,
495,0.9519,,,,,,
496,0.9563,,,,,,
497,0.9607,,,,,,
498,0.9651,,,,,,
499,0.9703,,,,,,
500,0.9789,0.0,,,,,
501,0.9866,0.0006,,,,,
502,0.9943,0.0019,,,,,
503,1.0,0.0032,,,,,
504,0.9986,0.0065,,,,,
505,0.9897,0.0089,,,,,
506,0.9629,0.0114,,,,,
507,0.9358,0.0139,,,,,
508,0.9085,0.0164,,,,,
509,0.8806,0.019,,,,,
510,0.8519,0.0215,,,,,
511,0.8244,0.0241,,,,,
512,0.8101,0.0268,,,,,
513,0.7956,0.0295,,,,,
514,0.7788,0.0322,,,,,
515,0.7559,0.0349,,,,,
516,0.7068,0.0504,,,,,
517,0.5964,0.0662,,,,,
518,0.4966,0.0912,,,,,
519,0.4132,0.1205,,,,,
520,0.3292,0.152,,,,,
521,0.2447,0.1912,,,,,
522,0.1369,0.2309,,,,,
523,0.1054,0.2711,,,,,
524,0.0945,0.3117,,,,,
525,0.0834,0.3529,,,,,
526,0.0723,0.3917,,,,,
