wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9
582,,,0.9492411,,,,,0.83640194,
583,,,0.93502551,,,,,0.82991207,
584,,,0.92853642,,,,,0.82210898,
585,,,0.93185908,,,,,0.81671482,
586,,,0.92724669,,,,,0.81798512,
587,,,0.86449587,,,,,0.82558936,
588,,,0.71098262,,,,,0.8370055,
589,,,0.51626664,,,,,0.84746104,
590,,,0.34508252,,,,,0.85366464,
591,,,0.21616927,,,,,0.8550694,
592,,,0.12075645,,,,,0.85333455,
593,,,0.05834393,,,,,0.85258639,
594,,,0.0269463,,,,,0.85494232,
595,,,0.01243138,,,,,0.86125129,
596,,,0.00607649,,,,,0.87052053,
597,,,0.00376825,,,,,0.87891728,
598,,,0.00202133,,,,,0.8835094,
599,,,0.00115144,,,,,0.88422352,
600,,,0.00069334,,,,,0.8804276,
601,,,0.00044097,,,,,0.87636942,
602,,,0.00029608,,,,,0.87454921,
603,,,0.00021146,,,,,0.87427628,
604,,,0.0001599,,,,,0.87942135,
605,,,0.00012726,,,,,0.88424522,
606,,,0.00010823,,,,,0.88828981,
607,,,9.787e-05,,,,,0.89149511,
608,,,9.54e-05,,,,,0.88984776,
609,,,0.00010035,,,,,0.88692278,
610,,,0.00011262,,,,,0.88409555,
611,,,,,,,,0.8844744,
612,,,,,,,,0.88792205,
613,,,,,,,,0.89509708,
614,,,,,,,,0.90393478,
615,,,,,,,,0.91256452,
616,,,,,,,,0.91933519,
617,,,,,,,,0.92318392,
618,,,,,,,,0.92334908,
619,,,,,,,,0.92322367,
620,,,,,,,,0.92271727,
621,,,,,,,,0.92207175,
622,,,,,,,,0.92361712,
623,,,,,,,,0.92525572,
624,,,,,,,,0.9287647,
625,,,,0.00052217,,,,0.93246269,
626,,,,0.00080255,,,,0.93536609,
627,,,,0.00127569,,,,0.93693691,
628,,,,0.00211028,,,,0.93770206,
629,,,,0.00370259,,,,0.93660849,
630,,,,0.00813655,,,,0.93482065,
631,,,,0.01448322,,,,0.93340796,
632,,,,0.02730471,,,,0.93537968,
633,,,,0.06150362,,,,0.93697798,
634,,,,0.12960456,,,,0.94104928,
635,,,,0.27599216,,,,0.94614661,
636,,,,0.50833505,,,,0.95185488,
637,,,,0.77823377,,,,0.95627266,
638,,,,0.93229699,,,,0.95843077,
639,,,,0.96630949,,,,0.95736688,
640,,,,0.98264039,,,,0.95565981,
641,,,,0.98610568,,,,0.95283598,
642,,,,0.98616272,,,,0.95041174,
643,,,,0.98130625,,,,0.94886798,
644,,,,0.97365528,,,,0.94887251,
645,,,,0.96917254,,,,0.95064622,
646,,,,0.97131443,,,,0.95328224,
647,,,,0.98079836,,,,0.95691651,
648,,,,0.99271876,,,,0.9610467,
649,,,,1.0,,,,0.96566254,
650,,,,0.99686712,,,,0.96974039,
651,,,,0.98542011,,,,0.97312099,
652,,,,0.97099334,,,,0.97521871,
653,,,,0.96106452,,,,0.97489649,
654,,,,0.96065092,,,,0.972332,
655,,,,0.96868747,,,,0.96867853,
656,,,,0.98070163,,,,0.96464068,
657,,,,0.98551208,,,,0.96061975,
658,,,,0.98893887,,,,0.96397477,
659,,,,0.98082989,,,,0.96756929,
660,,,,0.96791947,,,,0.97273779,
661,,,,0.96308017,,,,0.98216408,
662,,,,0.9632839,,,,0.9869532,
663,,,,0.97127014,,,,0.98877376,
664,,,,0.98161477,,,,0.98864222,
665,,,,0.98756588,,,,0.98769355,
666,,,,0.98632258,,,,0.98701572,
667,,,,0.98053038,,,,0.98726958,
668,,,,0.9798553,,,,0.99141115,
669,,,,0.98061383,,,,0.99577439,
670,,,,0.96493137,,,,1.0,
671,,,,0.85955077,,,,0.99740297,
672,,,,0.66807359,,,,0.98136055,
673,,,,0.41698042,,,,0.92713571,
674,,,,0.21568851,,,,0.79344761,
675,,,,0.10535625,,,,0.593741,
676,,,,0.05208358,,,,0.38244858,
677,,,,0.02525648,,,,0.22371659,
678,,,,0.01293051,,,,0.13053322,
679,,,,0.0067002,,,,0.07709492,
680,,,,0.00366779,,,,0.04784917,
681,,,,0.00210889,,,,0.03124457,
682,,,,0.00125278,,,,0.02128481,
683,,,,0.00098495,,,,0.01692485,
684,,,,0.00070233,,,,0.01253418,
685,,,,0.00054765,,,,0.00931615,
686,,,,0.00040268,,,,0.00690109,
687,,,,0.00034113,,,,0.00516988,
688,,,,0.00027893,,,,0.0038052199999999998,
689,,,,0.00026856,,,,0.00285749,
690,,,,0.00016362,,,,0.00203169,
691,,,,0.00013298,,,,0.00146685,
692,,,,,,,,0.00104939,
829,,,,,0.00045004,,,,
830,,,,,0.00047554,,,,
831,,,,,0.0005924,,,,
832,,,,,0.00071486,,,,
833,,,,,0.00083731,,,,
834,,,,,0.00095976,,,,
835,,,,,0.00108221,,,,
836,,,,,0.00124527,,,,
837,,,,,0.00159663,,,,
838,,,,,0.00209522,,,,
839,,,,,0.00282196,,,,
840,,,,,0.00389035,,,,
841,,,,,0.00557772,,,,
842,,,,,0.00840453,,,,
843,,,,,0.0121997,,,,
844,,,,,0.01910023,,,,
845,,,,,0.03112408,,,,
846,,,,,0.0518628,,,,
847,,,,,0.09260266,,,,
848,,,,,0.1572693,,,,
849,,,,,0.27197644,,,,
850,,,,,0.44460031,,,,
851,,,,,0.64932525,,,,
852,,,,,0.83474088,,,,
853,,,,,0.94093359,,,,
854,,,,,0.98152208,,,,
855,,,,,0.99064982,,,,
856,,,,,0.98923784,,,,
857,,,,,0.98816001,,,,
858,,,,,0.98943096,,,,
859,,,,,0.99220061,,,,
860,,,,,0.99498791,,,,
861,,,,,0.99694198,,,,
862,,,,,0.99800861,,,,
863,,,,,0.99821723,,,,
864,,,,,0.99814546,,,,
865,,,,,0.99809587,,,,
866,,,,,0.99818242,,,,
867,,,,,0.99900395,,,,
868,,,,,0.99929279,,,,
869,,,,,0.99940193,,,,
870,,,,,0.99973387,,,,
871,,,,,0.9998185,,,,
872,,,,,1.0,,,,
873,,,,,0.9999913,,,,
874,,,,,0.99643683,,,,
875,,,,,0.97451699,,,,
876,,,,,0.9297142,,,,
877,,,,,0.83448619,,,,
878,,,,,0.68116772,,,,
879,,,,,0.49675167,,,,
880,,,,,0.31920305,,,,
881,,,,,0.19073001,,,,
882,,,,,0.11139899,,,,
883,,,,,0.06462797,,,,
884,,,,,0.03681539,,,,
885,,,,,0.02192838,,,,
886,,,,,0.01321336,,,,
887,,,,,0.00764328,,,,
888,,,,,0.00490463,,,,
889,,,,,0.00311586,,,,
890,,,,,0.00199918,,,,
891,,,,,0.00132245,,,,
892,,,,,0.00088339,,,,
893,,,,,0.00059439,,,,
894,,,,,0.00041175,,,,
895,,,,,0.00032689,,,,
896,,,,,0.00026968,,,,
897,,,,,0.00021248,,,,
898,,,,,0.00015527,,,,
899,,,,,9.807e-05,,,,
900,,,,,7.605e-05,,,,
1340,,,,,,,,,0.00181957
1341,,,,,,,,,0.00191541
1342,,,,,,,,,0.00201124
1343,,,,,,,,,0.00215505
1344,,,,,,,,,0.0027176
1345,,,,,,,,,0.00331767
1346,,,,,,,,,0.00391773
1347,,,,,,,,,0.0045178
1348,,,,,,,,,0.00511786
1349,,,,,,,,,0.00571792
1350,,,,,,,,,0.00631799
1351,,,,,,,,,0.00691805
1352,,,,,,,,,0.00751811
1353,,,,,,,,,0.00811818
1354,,,,,,,,,0.00871824
1355,,,,,,,,,0.00990706
1356,,,,,,,,,0.01616448
1357,,,,,,,,,0.02451379
1358,,,,,,,,,0.03596721
1359,,,,,,,,,0.06802955
1360,,,,,,,,,0.10012802
1361,,,,,,,,,0.16047798
1362,,,,,,,,,0.25167426
1363,,,,,,,,,0.39358041
1364,,,,,,,,,0.55359846
1365,,,,,,,,,0.70396084
1366,,,,,,,,,0.83498162
1367,,,,,,,,,0.90780383
1368,,,,,,,,,0.93747765
1369,,,,,,,,,0.96537817
1370,,,,,,,,,0.97849137
1371,,,,,,,,,0.9852438
1372,,,,,,,,,0.98843849
1373,,,,,,,,,0.98671889
1374,,,,,,,,,0.98667437
1375,,,,,,,,,0.98694527
1376,,,,,,,,,0.99769294
1377,,,,,,,,,0.99982244
1378,,,,,,,,,1.0
1379,,,,,,,,,0.99945843
1380,,,,,,,,,0.99525571
1381,,,,,,,,,0.97109288
1382,,,,,,,,,0.91125011
1383,,,,,,,,,0.77080137
1384,,,,,,,,,0.59587407
1385,,,,,,,,,0.39652625
1386,,,,,,,,,0.24820989
1387,,,,,,,,,0.15064585
1388,,,,,,,,,0.08141971
1389,,,,,,,,,0.04933405
1390,,,,,,,,,0.03113159
1391,,,,,,,,,0.01941472
1392,,,,,,,,,0.01264709
1393,,,,,,,,,0.00828117
1394,,,,,,,,,0.00561062
1395,,,,,,,,,0.00394612
1396,,,,,,,,,0.00277805
1397,,,,,,,,,0.00203723
1398,,,,,,,,,0.0015287
1399,,,,,,,,,0.00111888
1400,,,,,,,,,0.00084564
1401,,,,,,,,,0.00065722
1402,,,,,,,,,0.00052074
1403,,,,,,,,,0.00042036
1404,,,,,,,,,0.00034685
1405,,,,,,,,,0.000278
1406,,,,,,,,,0.00025316
1407,,,,,,,,,0.00023463
1408,,,,,,,,,0.00021611
1409,,,,,,,,,0.00019758
1515,,,,,,0.00102868,,,
1516,,,,,,0.00111525,,,
1517,,,,,,0.00121016,,,
1518,,,,,,0.0013186,,,
1519,,,,,,0.00144451,,,
1520,,,,,,0.00158035,,,
1521,,,,,,0.00173374,,,
1522,,,,,,0.00192254,,,
1523,,,,,,0.00212096,,,
1524,,,,,,0.00232666,,,
1525,,,,,,0.00257729,,,
1526,,,,,,0.00287014,,,
1527,,,,,,0.00318403,,,
1528,,,,,,0.00355008,,,
1529,,,,,,0.00395633,,,
1530,,,,,,0.00441957,,,
1531,,,,,,0.00496607,,,
1532,,,,,,0.00552726,,,
1533,,,,,,0.00624686,,,
1534,,,,,,0.00699085,,,
1535,,,,,,0.00791399,,,
1536,,,,,,0.00878794,,,
1537,,,,,,0.0095772,,,
1538,,,,,,0.01062994,,,
1539,,,,,,0.01208038,,,
1540,,,,,,0.01363731,,,
1541,,,,,,0.01564604,,,
1542,,,,,,0.01773277,,,
1543,,,,,,0.02050976,,,
1544,,,,,,0.02335322,,,
1545,,,,,,0.02701552,,,
1546,,,,,,0.03067782,,,
1547,,,,,,0.03585456,,,
1548,,,,,,0.04147628,,,
1549,,,,,,0.04862727,,,
1550,,,,,,0.05693988,,,
1551,,,,,,0.0665569,,,
1552,,,,,,0.07723074,,,
1553,,,,,,0.08889236,,,
1554,,,,,,0.10460974,,,
1555,,,,,,0.12268095,,,
1556,,,,,,0.1425285,,,
1557,,,,,,0.16716501,,,
1558,,,,,,0.19407988,,,
1559,,,,,,0.22691402,,,
1560,,,,,,0.26105624,,,
1561,,,,,,0.30004618,,,
1562,,,,,,0.33936566,,,
1563,,,,,,0.38840884,,,
1564,,,,,,0.43883842,,,
1565,,,,,,0.49500111,,,
1566,,,,,,0.54953849,,,
1567,,,,,,0.60172623,,,
1568,,,,,,0.65151227,,,
1569,,,,,,0.69925785,,,
1570,,,,,,0.74280465,,,
1571,,,,,,0.78431123,,,
1572,,,,,,0.81647187,,,
1573,,,,,,0.8476572,,,
1574,,,,,,0.86943054,,,
1575,,,,,,0.88958013,,,
1576,,,,,,0.90365207,,,
1577,,,,,,0.91621089,,,
1578,,,,,,0.92594534,,,
1579,,,,,,0.93301046,,,
1580,,,,,,0.93747759,,,
1581,,,,,,0.94050515,,,
1582,,,,,,0.94241244,,,
1583,,,,,,0.94408292,,,
1584,,,,,,0.94547117,,,
1585,,,,,,0.94619197,,,
1586,,,,,,0.94624329,,,
1587,,,,,,0.94625497,,,
1588,,,,,,0.94622612,,,
1589,,,,,,0.94606429,,,
1590,,,,,,0.94574815,,,
1591,,,,,,0.94553393,,,
1592,,,,,,0.94558442,,,
1593,,,,,,0.94582468,,,
1594,,,,,,0.94627059,,,
1595,,,,,,0.94634467,,,
1596,,,,,,0.94768435,,,
1597,,,,,,0.94801325,,,
1598,,,,,,0.9490751,,,
1599,,,,,,0.95058209,,,
1600,,,,,,0.95202774,,,
1601,,,,,,0.9523024,,,
1602,,,,,,0.95366448,,,
1603,,,,,,0.95503706,,,
1604,,,,,,0.95348102,,,
1605,,,,,,0.95565885,,,
1606,,,,,,0.95655489,,,
1607,,,,,,0.9571594,,,
1608,,,,,,0.95751184,,,
1609,,,,,,0.95777732,,,
1610,,,,,,0.95878011,,,
1611,,,,,,0.96029568,,,
1612,,,,,,0.96157014,,,
1613,,,,,,0.96228975,,,
1614,,,,,,0.96300948,,,
1615,,,,,,0.96425939,,,
1616,,,,,,0.96561593,,,
1617,,,,,,0.96700233,,,
