wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9
2201,,,,,,,0.98093402,,
2202,,,,,,,0.9808982,,
2203,,,,,,,0.98004782,,
2204,,,,,,,0.98011398,,
2205,,,,,,,0.97921491,,
2206,,,,,,,0.97878832,,
2207,,,,,,,0.97845,,
2208,,,,,,,0.97681779,,
2209,,,,,,,0.97705674,,
2210,,,,,,,0.97879267,,
2211,,,,,,,0.97907805,,
2212,,,,,,,0.9780426,,
2213,,,,,,,0.97847897,,
2214,,,,,,,0.97736776,,
2215,,,,,,,0.97698873,,
2216,,,,,,,0.97670597,,
2217,,,,,,,0.97656572,,
2218,,,,,,,0.97742045,,
2219,,,,,,,0.97710729,,
2220,,,,,,,0.97625577,,
2221,,,,,,,0.97609216,,
2222,,,,,,,0.97645754,,
2223,,,,,,,0.97678703,,
2224,,,,,,,0.97713715,,
2225,,,,,,,0.97934949,,
2226,,,,,,,0.97878641,,
2227,,,,,,,0.98002392,,
2228,,,,,,,0.97969437,,
2229,,,,,,,0.97947246,,
2230,,,,,,,0.97958535,,
2231,,,,,,,0.97973728,,
2232,,,,,,,0.98007715,,
2233,,,,,,,0.98041546,,
2234,,,,,,,0.98075229,,
2235,,,,,,,0.98121125,,
2236,,,,,,,0.98180187,,
2237,,,,,,,0.98325735,,
2238,,,,,,,0.98485512,,
2239,,,,,,,0.98458195,,
2240,,,,,,,0.98573095,,
2241,,,,,,,0.98682696,,
2242,,,,,,,0.98753965,,
2243,,,,,,,0.98808074,,
2244,,,,,,,0.98795635,,
2245,,,,,,,0.9888075,,
2246,,,,,,,0.98895812,,
2247,,,,,,,0.98889464,,
2248,,,,,,,0.98786956,,
2249,,,,,,,0.98677874,,
2250,,,,,,,0.98517078,,
2251,,,,,,,0.9837774,,
2252,,,,,,,0.9826206,,
2253,,,,,,,0.98161823,,
2254,,,,,,,0.98062718,,
2255,,,,,,,0.97954774,,
2256,,,,,,,0.97850388,,
2257,,,,,,,0.97752798,,
2258,,,,,,,0.9764725,,
2259,,,,,,,0.97541523,,
2260,,,,,,,0.97554159,,
2261,,,,,,,0.97751099,,
2262,,,,,,,0.98016274,,
2263,,,,,,,0.97513086,,
2264,,,,,,,0.97495383,,
2265,,,,,,,0.9752937,,
2266,,,,,,,0.97618282,,
2267,,,,,,,0.97859925,,
2268,,,,,,,0.97964096,,
2269,,,,,,,0.9807688,,
2270,,,,,,,0.98314285,,
2271,,,,,,,0.98586017,,
2272,,,,,,,0.98965293,,
2273,,,,,,,0.99181819,,
2274,,,,,,,0.99376893,,
2275,,,,,,,0.99618787,,
2276,,,,,,,0.99796325,,
2277,,,,,,,0.99923283,,
2278,,,,,,,1.0,,
2279,,,,,,,0.99792081,,
2280,,,,,,,0.99446166,,
2281,,,,,,,0.98581928,,
2282,,,,,,,0.97574705,,
2283,,,,,,,0.96128398,,
2284,,,,,,,0.94335824,,
2285,,,,,,,0.91998041,,
2286,,,,,,,0.89376736,,
2287,,,,,,,0.85915744,,
2288,,,,,,,0.8235755,,
2289,,,,,,,0.78115994,,
2290,,,,,,,0.73678225,,
2291,,,,,,,0.68822551,,
2292,,,,,,,0.63962251,,
2293,,,,,,,0.58982903,,
2294,,,,,,,0.54092199,,
2295,,,,,,,0.49226084,,
2296,,,,,,,0.44587871,,
2297,,,,,,,0.40125731,,
2298,,,,,,,0.35893539,,
2299,,,,,,,0.32148635,,
2300,,,,,,,0.28420323,,
2301,,,,,,,0.2523469,,
2302,,,,,,,0.2255464,,
2303,,,,,,,0.20149876,,
2304,,,,,,,0.17846169,,
2305,,,,,,,0.1584622,,
2306,,,,,,,0.13879961,,
2307,,,,,,,0.12371186,,
2308,,,,,,,0.11006524,,
2309,,,,,,,0.09831959,,
2310,,,,,,,0.08718951,,
2311,,,,,,,0.07798396,,
2312,,,,,,,0.06932278,,
2313,,,,,,,0.06206976,,
2314,,,,,,,0.05512591,,
2315,,,,,,,0.04944164,,
2316,,,,,,,0.04455749,,
2317,,,,,,,0.040062,,
2318,,,,,,,0.03621278,,
2319,,,,,,,0.03288715,,
2320,,,,,,,0.02948643,,
2321,,,,,,,0.02685629,,
2322,,,,,,,0.02410637,,
2323,,,,,,,0.02195595,,
2324,,,,,,,0.0198522,,
2325,,,,,,,0.0180521,,
2326,,,,,,,0.01628702,,
2327,,,,,,,0.01486861,,
2328,,,,,,,0.01342942,,
2329,,,,,,,0.0123302,,
2330,,,,,,,0.01116003,,
2331,,,,,,,0.01031453,,
2332,,,,,,,0.00964784,,
2333,,,,,,,0.00882719,,
2334,,,,,,,0.00806936,,
2335,,,,,,,0.00738959,,
2336,,,,,,,0.00677839,,
2337,,,,,,,0.00624485,,
2338,,,,,,,0.00571132,,
2339,,,,,,,0.00526846,,
2340,,,,,,,0.00483111,,
2341,,,,,,,0.00446368,,
2342,,,,,,,0.00409824,,
2343,,,,,,,0.00378863,,
2344,,,,,,,0.00348159,,
2345,,,,,,,0.00322292,,
2346,,,,,,,0.00296733,,
2347,,,,,,,0.00275285,,
2348,,,,,,,0.00254073,,
2349,,,,,,,0.00236097,,
2350,,,,,,,0.0021844,,
2351,,,,,,,0.00203332,,
2352,,,,,,,0.00188482,,
2353,,,,,,,0.00175931,,
2354,,,,,,,0.00163477,,
2355,,,,,,,0.00152506,,
