wavelength,S1,S2,S3,S4,S5,S6,S7,S8,S9,F1,F2
517.82,5.338393498e-05,,,,,,,,,,
517.84,-8.549023667e-05,,,,,,,,,,
517.86,-0.0002347711514,,,,,,,,,,
517.88,-0.0003894008835,,,,,,,,,,
517.9,-0.0005453469798,,,,,,,,,,
517.92,-0.0006994842834,,,,,,,,,,
517.94,-0.0008493657019,,,,,,,,,,
517.96,-0.0009929121359,,,,,,,,,,
517.98,-0.001128058372,,,,,,,,,,
518,-0.001252396566,,,,,,,,,,
518.02,-0.001362867795,,,,,,,,,,
518.04,-0.001455558676,,,,,,,,,,
518.06,-0.001525658056,,,,,,,,,,
518.08,-0.001567613625,,,,,,,,,,
518.1,-0.001575499505,,,,,,,,,,
518.12,-0.001543567962,,,,,,,,,,
518.14,-0.00146691976,,,,,,,,,,
518.16,-0.001342198199,,,,,,,,,,
518.18,-0.001168199457,,,,,,,,,,
518.2,-0.0009463003458,,,,,,,,,,
518.22,-0.0006806319271,,,,,,,,,,
518.24,-0.000377967548,,,,,,,,,,
518.26,-4.733769346e-05,,,,,,,,,,
518.28,0.0003005768696,,,,,,,,,,
518.3,0.0006541941036,,,,,,,,,,
518.32,0.001001828365,,,,,,,,,,
518.34,0.001332443235,,,,,,,,,,
518.36,0.00163627827,,,,,,,,,,
518.38,0.001905290199,,,,,,,,,,
518.4,0.002133377696,,,,,,,,,,
518.42,0.002316391123,,,,,,,,,,
518.44,0.00245196094,,,,,,,,,,
518.46,0.00253920592,,,,,,,,,,
518.48,0.002578399499,,,,,,,,,,
518.5,0.002570674407,,,,,,,,,,
518.52,0.002517829781,,,,,,,,,,
518.54,0.002422271227,,,,,,,,,,
518.56,0.002287081036,,,,,,,,,,
518.58,0.002116151928,,,,,,,,,,
518.6,0.001914317447,,,,,,,,,,
518.62,0.001687384544,,,,,,,,,,
518.64,0.001442001867,,,,,,,,,,
518.66,0.001185339789,,,,,,,,,,
518.68,0.0009246142996,,,,,,,,,,
518.7,0.0006665388666,,,,,,,,,,
518.72,0.0004168199694,,,,,,,,,,
518.74,0.0001798113692,,,,,,,,,,
518.76,-4.15931016e-05,,,,,,,,,,
518.78,-0.0002458099103,,,,,,,,,,
518.8,-0.000432211802,,,,,,,,,,
518.82,-0.0006006806985,,,,,,,,,,
518.84,-0.0007512073517,,,,,,,,,,
518.86,-0.0008836653638,,,,,,,,,,
518.88,-0.0009978358348,,,,,,,,,,
518.9,-0.001093681494,,,,,,,,,,
518.92,-0.001171787023,,,,,,,,,,
