wavelength,B1,B2,B3N,B3B,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14
908,,,0.0024,0.0183,,,,,,,,,,,
912,,,0.0000,0.0075,,,,,,,,,,,
916,,,0.0000,0.0098,,,,,,,,,,,
920,,,0.0000,0.0000,,,,,,,,,,,
924,,,0.0000,0.0047,,,,,,,,,,,
1000,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1048,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1096,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1144,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1192,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1240,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1288,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1336,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1384,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1432,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1480,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1528,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1570,,,,,0.0040,,,,,,,,,,
1576,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1580,,,,,0.0080,,,,,,,,,,
1590,,,,,0.0330,,,,,,,,,,
1592.5,,,,,0.0450,,,,,,,,,,
1595,,,,,0.0740,,,,,,,,,,
1597.5,,,,,0.0990,,,,,,,,,,
1600,,,,,0.1520,,,,,,,,,,
1602.5,,,,,0.2140,,,,,,,,,,
1605,,,,,0.3050,,,,,,,,,,
1607.5,,,,,0.4200,,,,,,,,,,
1610,,,,,0.5970,,,,,,,,,,
1612.5,,,,,0.6750,,,,,,,,,,
1615,,,,,0.7900,,,,,,,,,,
1617.5,,,,,0.8270,,,,,,,,,,
1620,,,,,0.8400,,,,,,,,,,
1622.5,,,,,0.8480,,,,,,,,,,
1624,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1625,,,,,0.9010,,,,,,,,,,
1627.5,,,,,0.9050,,,,,,,,,,
1630,,,,,0.9100,,,,,,,,,,
1632.5,,,,,0.9140,,,,,,,,,,
1635,,,,,0.9050,,,,,,,,,,
1637.5,,,,,0.9260,,,,,,,,,,
1640,,,,,0.9470,,,,,,,,,,
1642.5,,,,,0.9670,,,,,,,,,,
1645,,,,,0.9760,,,,,,,,,,
1647.5,,,,,0.9840,,,,,,,,,,
1650,,,,,0.9710,,,,,,,,,,
1652.5,,,,,0.9790,,,,,,,,,,
1655,,,,,0.9880,,,,,,,,,,
1657.5,,,,,1.0000,,,,,,,,,,
1660,,,,,0.9920,,,,,,,,,,
1662.5,,,,,0.9840,,,,,,,,,,
1665,,,,,0.9780,,,,,,,,,,
1667.5,,,,,0.9710,,,,,,,,,,
1670,,,,,0.9470,,,,,,,,,,
1672,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1672.5,,,,,0.9510,,,,,,,,,,
1675,,,,,0.9450,,,,,,,,,,
1677.5,,,,,0.9380,,,,,,,,,,
1680,,,,,0.9340,,,,,,,,,,
1682.5,,,,,0.9300,,,,,,,,,,
1685,,,,,0.9360,,,,,,,,,,
1687.5,,,,,0.9420,,,,,,,,,,
1690,,,,,0.9140,,,,,,,,,,
1692.5,,,,,0.8970,,,,,,,,,,
1695,,,,,0.7980,,,,,,,,,,
1697.5,,,,,0.7000,,,,,,,,,,
1700,,,,,0.5970,,,,,,,,,,
1702.5,,,,,0.4610,,,,,,,,,,
1705,,,,,0.3700,,,,,,,,,,
1707.5,,,,,0.2630,,,,,,,,,,
1710,,,,,0.1730,,,,,,,,,,
1720,,,,,0.0450,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1730,,,,,0.0160,,,,,,,,,,
1740,,,,,0.0040,,,,,,,,,,
1750,,,,,0.0010,,,,,,,,,,
1768,,,,,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1816,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1864,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1912,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
1960,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2008,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2056,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2104,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2120,,,,,,0.0080,,,,,,,,,
2130,,,,,,0.0200,,,,,,,,,
2132.5,,,,,,0.0290,,,,,,,,,
2135,,,,,,0.0410,,,,,,,,,
2137.5,,,,,,0.0780,,,,,,,,,
2140,,,,,,0.1310,,,,,,,,,
2142.5,,,,,,0.2050,,,,,,,,,
2145,,,,,,0.3030,,,,,,,,,
2147.5,,,,,,0.5410,,,,,,,,,
2150,,,,,,0.7050,0.0080,,,,,,,,
2152,,,,,0.0000,,,0.0000,0.0000,0.0000,,,,,
2152.5,,,,,,0.7790,,,,,,,,,
2155,,,,,,0.7910,,,,,,,,,
2157.5,,,,,,0.8030,,,,,,,,,
2160,,,,,,0.8220,0.0160,,,,,,,,
2162.5,,,,,,0.8400,,,,,,,,,
2165,,,,,,0.9180,,,,,,,,,
2167.5,,,,,,0.9590,,,,,,,,,
2170,,,,,,1.0000,0.0370,,,,,,,,
2172.5,,,,,,0.9750,0.0490,,,,,,,,
2175,,,,,,0.9020,0.0660,,,,,,,,
2177.5,,,,,,0.7790,0.1070,,,,,,,,
2180,,,,,,0.6890,0.1720,,,,,,,,
2182.5,,,,,,0.5900,0.2540,,,,,,,,
2185,,,,,,0.4180,0.3520,,,,,,,,
2187.5,,,,,,0.3030,0.5000,,,,,,,,
2190,,,,,,0.2300,0.6020,,,,,,,,
2192.5,,,,,,0.1720,0.7420,,,,,,,,
2195,,,,,,0.1070,0.7620,,,,,,,,
2197.5,,,,,,0.0700,0.7790,,,,,,,,
2200,,,,,0.0000,0.0610,0.8520,0.0000,0.0000,0.0000,,,,,
2202.5,,,,,,0.0498,0.8690,,,,,,,,
2205,,,,,,0.0385,0.8860,,,,,,,,
2207.5,,,,,,0.0273,0.9020,,,,,,,,
2210,,,,,,0.0160,0.9290,0.0080,,,,,,,
2212.5,,,,,,0.0140,0.9550,,,,,,,,
2215,,,,,,0.0120,0.9840,,,,,,,,
2217.5,,,,,,0.0100,1.0000,,,,,,,,
2220,,,,,,0.0080,0.9340,0.0250,,,,,,,
2222.5,,,,,,0.0070,0.8200,0.0330,,,,,,,
2225,,,,,,0.0060,0.7540,0.0490,,,,,,,
2227.5,,,,,,0.0050,0.5160,0.0700,,,,,,,
2230,,,,,,0.0040,0.3280,0.1150,,,,,,,
2232.5,,,,,,,0.2380,0.1760,,,,,,,
2234.5,,,,,,0.0037,,,,,,,,,
2235,,,,,,,0.1640,0.2500,,,,,,,
2237.5,,,,,,,0.1070,0.3850,,,,,,,
2239,,,,,,0.0033,,,,,,,,,
2240,,,,,,,0.0570,0.5080,,,,,,,
2242.5,,,,,,,0.0468,0.6560,,,,,,,
2243.5,,,,,,0.0030,,,,,,,,,
2245,,,,,,,0.0365,0.7950,,,,,,,
2247.5,,,,,,,0.0263,0.8690,,,,,,,
2248,,,,,0.0000,0.0027,,,0.0001,0.0000,,,,,
2250,,,,,,,0.0160,0.8480,,,,,,,
2252.5,,,,,,,0.0140,0.9100,,,,,,,
2255,,,,,,,0.0120,0.9100,,,,,,,
2257.5,,,,,,,0.0100,0.9260,,,,,,,
2260,,,,,,0.0020,0.0080,0.9260,0.0120,,,,,,
2262.5,,,,,,,0.0070,0.9430,,,,,,,
2265,,,,,,,0.0060,0.9590,,,,,,,
2267.5,,,,,,,0.0050,0.9750,,,,,,,
2270,,,,,,,0.0040,0.9750,0.0160,,,,,,
2272,,,,,,0.0013,,,,,,,,,
2272.5,,,,,,,,1.0000,,,,,,,
2275,,,,,,,,0.9590,,,,,,,
2276.5,,,,,,,0.0030,,,,,,,,
2277.5,,,,,,,,0.8690,,,,,,,
2280,,,,,,,,0.7990,0.0450,,,,,,
2282.5,,,,,,,,0.7050,0.0610,,,,,,
2283,,,,,,,0.0021,,,,,,,,
2284,,,,,,0.0007,,,,,,,,,
2285,,,,,,,,0.6230,0.0820,,,,,,
2287.5,,,,,,,,0.5000,0.1060,,,,,,
2289.5,,,,,,,0.0012,,,,,,,,
2290,,,,,,,,0.3930,0.1390,,,,,,
2292.5,,,,,,,,0.3030,0.2040,,,,,,
2295,,,,,,,,0.2420,0.2860,,,,,,
2296,,,,,0.0000,0.0000,0.0002,,,0.0001,,,,,
2297.5,,,,,,,,0.1760,0.4490,,,,,,
2300,,,,,,,,0.1270,0.6040,,,,,,
2302.5,,,,,,,,0.1060,0.7020,,,,,,
2305,,,,,,,,0.0840,0.8330,,,,,,
2307.5,,,,,,,,0.0625,0.9710,,,,,,
2310,,,,,,,,0.0410,0.9880,,,,,,
2312.5,,,,,,,,0.0370,0.9550,,,,,,
2315,,,,,,,,0.0330,0.9800,,,,,,
2317.5,,,,,,,,0.0290,0.9770,,,,,,
2320,,,,,,,,0.0250,0.9750,0.0080,,,,,
2322.5,,,,,,,,,0.9720,,,,,,
2325,,,,,,,,,0.9700,,,,,,
2326,,,,,,,,0.0209,,,,,,,
2327.5,,,,,,,,,0.9670,,,,,,
2330,,,,,,,,,0.9470,0.0120,,,,,
2332,,,,,,,,0.0168,,,,,,,
2332.5,,,,,,,,,0.9620,,,,,,
2335,,,,,,,,,0.9770,,,,,,
2337.5,,,,,,,,,0.9920,,,,,,
2338,,,,,,,,0.0127,,,,,,,
2340,,,,,,,,,1.0000,0.0200,,,,,
2342.5,,,,,,,,,0.9800,0.0290,,,,,
2344,,,,,0.0000,0.0000,0.0000,0.0086,,,,,,,
2345,,,,,,,,,0.9960,0.0450,,,,,
2347.5,,,,,,,,,0.9920,0.0650,,,,,
2350,,,,,,,,,0.9960,0.0780,,,,,
2352.5,,,,,,,,,0.9550,0.1100,,,,,
2355,,,,,,,,,0.9630,0.1550,,,,,
2356,,,,,,,,0.0065,,,,,,,
2357.5,,,,,,,,,0.9060,0.2290,,,,,
2360,,,,,,,,,0.8370,0.3270,,,,,
2362.5,,,,,,,,,0.7840,0.4240,,,,,
2365,,,,,,,,,0.7020,0.5390,,,,,
2367.5,,,,,,,,,0.5800,0.7270,,,,,
2368,,,,,,,,0.0044,,,,,,,
2370,,,,,,,,,0.4410,0.7840,,,,,
