wavelength,B1,B2,B3N,B3B,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14
8440,,,,,,,,,,,0.6316,0.3161,0,0.0006,0
8450,,,,,,,,,,,0.5013,0.4345,0,0.0008,0.0002
8460,,,,,,,,,,,0.3525,0.5567,0,0.0005,0.0001
8470,,,,,,,,,,,0.2179,0.6757,0,0.0008,0.0001
8480,,,,,,,,,,,0.1224,0.7702,0,0.0008,0
8490,,,,,,,,,,,0.0687,0.832,0,0.0005,0.0002
8500,,,,,,,,,,,0.0424,0.8738,0,0.0004,0
8510,,,,,,,,,,,0.0285,0.9004,0,0.0006,0.0004
8520,,,,,,,,,,,0.0216,0.9195,0,0.0005,0.0004
8530,,,,,,,,,,,0.0179,0.9128,0,0.0006,0.0003
8540,,,,,,,,,,,0.016,0.8847,0,0.0006,0.0003
8550,,,,,,,,,,,0.0149,0.8577,0,0.0006,0.0004
8560,,,,,,,,,,,0.0133,0.8535,0,0.0002,0.0004
8570,,,,,,,,,,,0.0122,0.8576,0,0.0006,0.0002
8580,,,,,,,,,,,0.011,0.8632,0,0.0004,0.0004
8590,,,,,,,,,,,0.0098,0.8701,0,0.0006,0.0005
8600,,,,,,,,,,,0.009,0.8879,0.0001,0.0005,0.0004
8610,,,,,,,,,,,0.0079,0.9155,0.0003,0.0003,0.0006
8620,,,,,,,,,,,0.0065,0.9511,0.0007,0.0003,0.0008
8630,,,,,,,,,,,0.0052,0.9665,0.0009,0.0002,0.0003
8640,,,,,,,,,,,0.0038,0.964,0.0012,0.0003,0.0008
8650,,,,,,,,,,,0.0026,0.9543,0.0008,0.0006,0.0006
8660,,,,,,,,,,,0.0018,0.9611,0.0008,0.0003,0.0009
8670,,,,,,,,,,,0.0015,0.9626,0.0002,0.0005,0.0007
8680,,,,,,,,,,,0.0015,0.9546,0,0.0004,0.0009
8690,,,,,,,,,,,0.0017,0.9412,0,0.0005,0.0005
8700,,,,,,,,,,,0.0019,0.9387,0,0.0005,0.0009
8710,,,,,,,,,,,0.0024,0.9555,0,0.0005,0.0004
8720,,,,,,,,,,,0.0024,0.9881,0,0.0004,0.0007
8730,,,,,,,,,,,0.0025,1,0,0.0003,0.0009
8740,,,,,,,,,,,0.0024,0.9949,0,0.0003,0.0005
8750,,,,,,,,,,,0.0024,0.9748,0,0.0002,0.0008
8760,,,,,,,,,,,0.0025,0.9329,0,0.0004,0.0008
8770,,,,,,,,,,,0.0026,0.8751,0,0.0004,0.0008
8780,,,,,,,,,,,0.0025,0.773,0,0.0004,0.0008
8790,,,,,,,,,,,0.0024,0.6446,0,0.0004,0.0005
8800,,,,,,,,,,,0.0024,0.5088,0,0.0004,0.0005
8810,,,,,,,,,,,0.0021,0.3815,0.0055,0.0003,0.0007
8820,,,,,,,,,,,0.002,0.2767,0.0158,0.0003,0.0006
8830,,,,,,,,,,,0.0015,0.1778,0.0323,0.0004,0.0006
8840,,,,,,,,,,,0.0011,0.1086,0.0594,0.0003,0.0009
8850,,,,,,,,,,,0.0009,0.0652,0.1001,0.0002,0.0007
8860,,,,,,,,,,,0.0005,0.0412,0.1565,0.0003,0.0007
8870,,,,,,,,,,,0.0004,0.0299,0.2351,0.0002,0.0006
8880,,,,,,,,,,,0.0004,0.0229,0.3348,0.0002,0.0007
8890,,,,,,,,,,,0.0003,0.0187,0.4533,0.0001,0.0008
8900,,,,,,,,,,,0.0002,0.0158,0.5832,0.0001,0.0006
8910,,,,,,,,,,,0.0002,0.0143,0.7067,0.0002,0.0003
8920,,,,,,,,,,,0.0004,0.0131,0.8004,0.0002,0.0007
8930,,,,,,,,,,,0.0005,0.0117,0.8675,0.0003,0.0004
8940,,,,,,,,,,,0.0003,0.0107,0.899,0.0001,0.0004
8950,,,,,,,,,,,0.0003,0.0093,0.9002,0.0002,0.0005
8960,,,,,,,,,,,0,0.0086,0.8878,0.0004,0.0006
8970,,,,,,,,,,,0,0.0075,0.874,0.0005,0
8980,,,,,,,,,,,0,0.0075,0.8609,0.0004,0.0005
8990,,,,,,,,,,,0,0.0058,0.8596,0.0006,0.0004
9000,,,,,,,,,,,0,0.0041,0.858,0.0007,0.0004
9010,,,,,,,,,,,0.0001,0.0035,0.8549,0.0007,0.0002
9020,,,,,,,,,,,0.0001,0.0024,0.8677,0.0007,0.0004
9030,,,,,,,,,,,0,0.002,0.8957,0.0006,0.0004
9040,,,,,,,,,,,0,0.0016,0.9278,0.0007,0.0004
9050,,,,,,,,,,,0,0.0018,0.9669,0.0012,0.0004
9060,,,,,,,,,,,0,0.0017,0.9885,0.0007,0.0003
9070,,,,,,,,,,,0,0.0016,0.9965,0.0008,0.0001
9080,,,,,,,,,,,0,0.0018,1,0.0011,0.0006
9090,,,,,,,,,,,0,0.0018,0.9981,0.0008,0.0003
9100,,,,,,,,,,,0,0.002,0.9893,0.0008,0
9110,,,,,,,,,,,0,0.0021,0.9767,0.001,0.0003
9120,,,,,,,,,,,0,0.0021,0.9522,0.0007,0.0004
9130,,,,,,,,,,,0,0.0024,0.9289,0.0012,0.0002
9140,,,,,,,,,,,0,0.0023,0.9273,0.0011,0.0001
9150,,,,,,,,,,,0,0.0027,0.935,0.0011,0.0003
9160,,,,,,,,,,,0,0.0026,0.9573,0.0008,0.0003
9170,,,,,,,,,,,0,0.0025,0.9755,0.0011,0.0002
9180,,,,,,,,,,,0,0.0025,0.986,0.0009,0.0002
9190,,,,,,,,,,,0,0.0019,0.9867,0.0009,0.0001
9200,,,,,,,,,,,0,0.0019,0.9776,0.0011,0.0002
9210,,,,,,,,,,,0,0.0015,0.9566,0.0008,0
9220,,,,,,,,,,,0,0.0009,0.9016,0.0006,0.0005
9230,,,,,,,,,,,0,0.0012,0.8138,0.0007,0.0002
9240,,,,,,,,,,,0,0.0007,0.6934,0.0007,0.0003
9250,,,,,,,,,,,0,0.0009,0.5646,0.0007,0.0004
9260,,,,,,,,,,,0,0.0005,0.4355,0.001,0.0005
9270,,,,,,,,,,,0,0.0007,0.3202,0.0009,0
9280,,,,,,,,,,,0,0.0006,0.2139,0.0008,0
9290,,,,,,,,,,,0,0.0012,0.1361,0.001,0.0003
9300,,,,,,,,,,,0,0.0011,0.0813,0.001,0.0001
9310,,,,,,,,,,,0,0.0009,0.0516,0.0011,0.0002
9320,,,,,,,,,,,0,0.0008,0.0341,0.0012,0.0004
9330,,,,,,,,,,,0,0.0006,0.025,0.001,0.0001
9340,,,,,,,,,,,0,0.0005,0.0198,0.0012,0.0005
9350,,,,,,,,,,,0,0.0002,0.0171,0.0012,0.0001
9360,,,,,,,,,,,0,0,0.0148,0.0013,0
9370,,,,,,,,,,,0,0,0.0139,0.0014,0.0005
9380,,,,,,,,,,,0,0,0.0126,0.0013,0.0001
9390,,,,,,,,,,,0,0.0002,0.0118,0.0012,0
9400,,,,,,,,,,,0,0,0.0104,0.0017,0.0001
9410,,,,,,,,,,,0,0,0.0096,0.0012,0
9420,,,,,,,,,,,0,0.0002,0.0088,0.0013,0.0005
9430,,,,,,,,,,,0,0.0004,0.0077,0.0015,0.0002
9440,,,,,,,,,,,0,0.0006,0.007,0.0013,0.0003
9450,,,,,,,,,,,0,0.0005,0.0063,0.0015,0
9460,,,,,,,,,,,0,0,0.0054,0.0018,0
9470,,,,,,,,,,,0,0.0001,0.0045,0.0017,0.0005
9480,,,,,,,,,,,0,0,0.0031,0.0017,0.0002
9490,,,,,,,,,,,0,0,0.0023,0.0012,0.0004
9500,,,,,,,,,,,0,0,0.0023,0.0012,0.0001
9510,,,,,,,,,,,0,0,0.0017,0.0011,0.0003
9520,,,,,,,,,,,0,0,0.0018,0.0012,0.0004
9530,,,,,,,,,,,0,0,0.0015,0.0007,0.0006
9540,,,,,,,,,,,0,0,0.0017,0.0003,0.0006
9550,,,,,,,,,,,0,0,0.0014,0.0004,0.0009
9560,,,,,,,,,,,0,0,0.0015,0.0004,0.0006
9570,,,,,,,,,,,0,0,0.0016,0.0006,0.0009
9580,,,,,,,,,,,0,0,0.0013,0.0004,0.0011
9590,,,,,,,,,,,0,0,0.0012,0.0002,0.0011
9600,,,,,,,,,,,0,0,0.0019,0.0001,0.001
9610,,,,,,,,,,,0,0,0.0018,0.0003,0.0013
9620,,,,,,,,,,,0,0,0.0021,0.0005,0.0012
9630,,,,,,,,,,,0,0,0.0021,0.0004,0.001
9640,,,,,,,,,,,0,0,0.0027,0.0004,0.0007
9650,,,,,,,,,,,0,0,0.0028,0.0001,0.0009
9660,,,,,,,,,,,0,0,0.0028,0,0.0009
9670,,,,,,,,,,,0.0001,0,0.0028,0,0.0013
9680,,,,,,,,,,,0.0001,0,0.0027,0,0.0009
9690,,,,,,,,,,,0,0,0.0023,0,0.0012
9700,,,,,,,,,,,0,0,0.0019,0,0.0012
9710,,,,,,,,,,,0.0001,0,0.0014,0.0002,0.0011
9720,,,,,,,,,,,0,0,0.0011,0.0001,0.0008
9730,,,,,,,,,,,0,0,0.0008,0.0002,0.0007
9740,,,,,,,,,,,0,0,0.0009,0.0003,0.0008
9750,,,,,,,,,,,0,0,0.0008,0.0006,0.0007
9760,,,,,,,,,,,0,0,0.0006,0.0002,0.0005
9770,,,,,,,,,,,0,0,0.001,0.0007,0.0006
9780,,,,,,,,,,,0,0,0.0011,0.001,0.0005
9790,,,,,,,,,,,0,0,0.0015,0.0003,0.0004
9800,,,,,,,,,,,0,0,0.0017,0,0.0006
9810,,,,,,,,,,,0,0,0.0013,0.0001,0.0005
9820,,,,,,,,,,,0,0,0.0015,0,0.0005
9830,,,,,,,,,,,0,0,0.0015,0,0.0003
9840,,,,,,,,,,,0,0,0.0015,0,0.0005
9850,,,,,,,,,,,0,0,0.0009,0,0.0008
9860,,,,,,,,,,,0,0,0.0006,0,0.0007
9870,,,,,,,,,,,0.0002,0,0.0003,0,0.0009
9880,,,,,,,,,,,0,0,0.0002,0,0.0012
9890,,,,,,,,,,,0.0001,0,0,0,0.001
9900,,,,,,,,,,,0,0,0,0,0.0013
9910,,,,,,,,,,,0.0001,0,0,0,0.0013
9920,,,,,,,,,,,0,0,0,0,0.0015
9930,,,,,,,,,,,0.0001,0,0,0,0.0017
9940,,,,,,,,,,,0.0001,0,0.0003,0,0.0014
9950,,,,,,,,,,,0.0001,0,0.0001,0,0.0012
9960,,,,,,,,,,,0.0002,0,0.0001,0.0005,0.0015
9970,,,,,,,,,,,0.0003,0,0.0001,0.0006,0.0014
9980,,,,,,,,,,,0.0004,0,0.0005,0.0003,0.0012
9990,,,,,,,,,,,0.0003,0,0.0007,0.0007,0.0014
10000,,,,,,,,,,,0.0006,0,0.0005,0.0007,0.0012
10010,,,,,,,,,,,0.0005,0,0.0003,0.0007,0.001
10020,,,,,,,,,,,0.0004,0,0,0.0004,0.0012
10030,,,,,,,,,,,0.0004,0,0,0.0001,0.001
10040,,,,,,,,,,,0.0002,0,0,0,0.0008
10050,,,,,,,,,,,0.0002,0,0,0,0.0013
10060,,,,,,,,,,,0.0002,0,0,0,0.0008
10070,,,,,,,,,,,0.0001,0,0,0,0.0007
10080,,,,,,,,,,,0.0001,0,0,0,0.0009
10090,,,,,,,,,,,0,0,0,0,0.0012
10100,,,,,,,,,,,0,0,0,0,0.0009
10110,,,,,,,,,,,0.0002,0.0003,0,0,0.0006
10120,,,,,,,,,,,0.0005,0.0002,0,0,0.0005
10130,,,,,,,,,,,0.0003,0,0,0,0.0008
10140,,,,,,,,,,,0.0004,0.0006,0,0,0.0002
10150,,,,,,,,,,,0.0004,0.0006,0,0,0.0003
10160,,,,,,,,,,,0.0004,0.0003,0,0.0014,0
10170,,,,,,,,,,,0.0003,0.0006,0,0.0036,0.0001
10180,,,,,,,,,,,0.0005,0.0002,0,0.0068,0.0002
10190,,,,,,,,,,,0.0003,0.0002,0,0.011,0.0001
10200,,,,,,,,,,,0.0003,0,0,0.0171,0
10210,,,,,,,,,,,0,0,0,0.0255,0.0005
10220,,,,,,,,,,,0,0,0,0.0371,0.0007
10230,,,,,,,,,,,0,0.0002,0,0.0514,0.0005
10240,,,,,,,,,,,0,0,0,0.0709,0
10250,,,,,,,,,,,0,0,0,0.0955,0.0003
10260,,,,,,,,,,,0,0,0,0.1263,0.0002
10270,,,,,,,,,,,0,0,0,0.1659,0.0001
10280,,,,,,,,,,,0,0,0,0.2125,0.0001
10290,,,,,,,,,,,0,0,0,0.2651,0.0001
10300,,,,,,,,,,,0,0,0,0.3288,0
10310,,,,,,,,,,,0,0,0,0.4005,0
10320,,,,,,,,,,,0,0,0,0.4752,0
10330,,,,,,,,,,,0,0,0,0.5541,0
10340,,,,,,,,,,,0,0.0002,0,0.6411,0
10350,,,,,,,,,,,0,0.0001,0,0.7177,0
10360,,,,,,,,,,,0,0.0003,0,0.7823,0
10370,,,,,,,,,,,0,0.0001,0,0.836,0
10380,,,,,,,,,,,0,0,0,0.8824,0
10390,,,,,,,,,,,0,0,0,0.9007,0
10400,,,,,,,,,,,0,0,0,0.9138,0
10410,,,,,,,,,,,0,0,0,0.92,0
10420,,,,,,,,,,,0,0,0,0.919,0
10430,,,,,,,,,,,0,0,0,0.9112,0
10440,,,,,,,,,,,0,0.0001,0,0.8988,0
10450,,,,,,,,,,,0,0.0003,0,0.8914,0
10460,,,,,,,,,,,0,0.0004,0,0.8836,0
10470,,,,,,,,,,,0,0.0004,0,0.8783,0
10480,,,,,,,,,,,0,0,0,0.8729,0
10490,,,,,,,,,,,0,0.0003,0,0.8714,0
10500,,,,,,,,,,,0,0.0001,0,0.8687,0
10510,,,,,,,,,,,0.0009,0.0002,0,0.8621,0
10520,,,,,,,,,,,0.0013,0.0005,0,0.8638,0
10530,,,,,,,,,,,0.0015,0,0,0.866,0
10540,,,,,,,,,,,0.0015,0.0001,0,0.8662,0
10550,,,,,,,,,,,0.0018,0.0002,0,0.8679,0
10560,,,,,,,,,,,0.0017,0,0,0.8836,0
10570,,,,,,,,,,,0.0016,0,0,0.889,0
10580,,,,,,,,,,,0.0018,0,0,0.8897,0
10590,,,,,,,,,,,0.0019,0,0,0.8994,0.0003
10600,,,,,,,,,,,0.0016,0,0,0.9115,0.0001
10610,,,,,,,,,,,0.0015,0,0,0.9127,0.0005
10620,,,,,,,,,,,0.0018,0.0001,0,0.9213,0.0005
10630,,,,,,,,,,,0.0016,0,0,0.937,0.0004
10640,,,,,,,,,,,0.0014,0.0001,0,0.9408,0.0006
10650,,,,,,,,,,,0.001,0.0001,0,0.9457,0.0007
10660,,,,,,,,,,,0.001,0.0002,0,0.9489,0.0007
10670,,,,,,,,,,,0.0008,0.0001,0,0.9534,0.0005
10680,,,,,,,,,,,0.0004,0.0004,0,0.9547,0.0005
10690,,,,,,,,,,,0.0005,0.0001,0,0.954,0.0005
10700,,,,,,,,,,,0.0001,0.0001,0,0.9603,0
10710,,,,,,,,,,,0.0001,0.0002,0,0.9668,0.0001
10720,,,,,,,,,,,0,0,0.0003,0.9667,0
10730,,,,,,,,,,,0,0.0003,0.0006,0.967,0
10740,,,,,,,,,,,0,0,0.0008,0.97,0
10750,,,,,,,,,,,0,0,0.0006,0.9588,0
10760,,,,,,,,,,,0,0,0.0003,0.9626,0
10770,,,,,,,,,,,0,0,0.0006,0.9662,0
10780,,,,,,,,,,,0,0,0.0001,0.9607,0.0005
10790,,,,,,,,,,,0,0,0.0002,0.9649,0.0018
10800,,,,,,,,,,,0,0,0,0.9744,0.0029
10810,,,,,,,,,,,0,0,0.0001,0.9711,0.0054
10820,,,,,,,,,,,0,0,0,0.9736,0.0082
10830,,,,,,,,,,,0,0,0,0.9797,0.0107
10840,,,,,,,,,,,0,0,0,0.981,0.0148
10850,,,,,,,,,,,0,0,0,0.9831,0.0204
10860,,,,,,,,,,,0,0,0,0.991,0.0262
10870,,,,,,,,,,,0,0,0,0.9959,0.035
10880,,,,,,,,,,,0,0,0,1,0.0443
10890,,,,,,,,,,,0,0,0,0.995,0.0556
10900,,,,,,,,,,,0,0,0,0.9864,0.0702
10910,,,,,,,,,,,0,0,0,0.9684,0.0882
10920,,,,,,,,,,,0,0,0,0.9418,0.1094
10930,,,,,,,,,,,0,0,0.0001,0.9122,0.135
10940,,,,,,,,,,,0,0,0.0002,0.8619,0.1646
10950,,,,,,,,,,,0,0,0,0.803,0.1991
10960,,,,,,,,,,,0,0,0.0003,0.7421,0.2405
10970,,,,,,,,,,,0,0,0,0.6583,0.2831
10980,,,,,,,,,,,0.0002,0,0,0.5668,0.3345
10990,,,,,,,,,,,0.0001,0,0,0.4838,0.3885
11000,,,,,,,,,,,0.0003,0,0,0.3893,0.4477
11010,,,,,,,,,,,0.0003,0,0,0.3115,0.5184
11020,,,,,,,,,,,0.0003,0,0,0.2489,0.5777
11030,,,,,,,,,,,0.0002,0,0,0.1861,0.6466
11040,,,,,,,,,,,0.0003,0,0,0.1433,0.7153
11050,,,,,,,,,,,0.0005,0,0,0.11,0.7701
11060,,,,,,,,,,,0.0006,0,0,0.0826,0.8402
11070,,,,,,,,,,,0.0007,0,0,0.0644,0.8875
11080,,,,,,,,,,,0.0005,0,0.0003,0.0516,0.9282
11090,,,,,,,,,,,0.0005,0,0.0002,0.0405,0.9692
11100,,,,,,,,,,,0.0007,0.0005,0.0005,0.0338,0.9825
11110,,,,,,,,,,,0.0008,0.0003,0.0002,0.0294,0.9947
11120,,,,,,,,,,,0.0005,0.0008,0.0003,0.0249,1
11130,,,,,,,,,,,0.0004,0.0007,0.0009,0.0226,0.9924
11140,,,,,,,,,,,0.0006,0.0002,0.0006,0.0199,0.9887
11150,,,,,,,,,,,0.0006,0.0007,0.0002,0.0173,0.9842
11160,,,,,,,,,,,0.0006,0.0007,0.0003,0.0164,0.9727
11170,,,,,,,,,,,0.0005,0.0006,0.0006,0.0141,0.9656
11180,,,,,,,,,,,0.0006,0.0005,0.0005,0.0135,0.9604
11190,,,,,,,,,,,0.0007,0.0005,0,0.0122,0.9532
11200,,,,,,,,,,,0.0006,0.0004,0,0.0108,0.9542
11210,,,,,,,,,,,0.0002,0.0001,0.0002,0.0104,0.95
11220,,,,,,,,,,,0.0004,0.0004,0.0003,0.0095,0.9528
11230,,,,,,,,,,,0.0004,0.0004,0.0006,0.0088,0.9516
11240,,,,,,,,,,,0.0005,0.0002,0,0.008,0.9583
11250,,,,,,,,,,,0.0005,0.0002,0.0001,0.0069,0.9579
11260,,,,,,,,,,,0.0006,0,0,0.0063,0.9592
11270,,,,,,,,,,,0.0002,0.0006,0.0001,0.0057,0.9615
11280,,,,,,,,,,,0.0005,0.0002,0,0.005,0.9558
11290,,,,,,,,,,,0.0004,0,0,0.0042,0.9589
11300,,,,,,,,,,,0.0003,0,0,0.0037,0.9525
11310,,,,,,,,,,,0.0005,0.0001,0,0.003,0.9431
11320,,,,,,,,,,,0.0003,0,0.0005,0.0024,0.9328
11330,,,,,,,,,,,0.0001,0,0.0001,0.0018,0.9209
11340,,,,,,,,,,,0.0002,0,0.0001,0.002,0.9086
11350,,,,,,,,,,,0.0002,0,0.0002,0.0017,0.8885
11360,,,,,,,,,,,0.0003,0,0.001,0.0016,0.8791
11370,,,,,,,,,,,0.0002,0,0.0001,0.0016,0.8563
11380,,,,,,,,,,,0.0004,0,0.0001,0.0016,0.8463
11390,,,,,,,,,,,0.0004,0,0.0001,0.0018,0.8341
11400,,,,,,,,,,,0.0002,0.0003,0,0.0015,0.8175
11410,,,,,,,,,,,0.0004,0,0.0003,0.0015,0.8126
11420,,,,,,,,,,,0.0003,0,0.0006,0.0018,0.7974
11430,,,,,,,,,,,0.0004,0,0.0001,0.0014,0.7921
11440,,,,,,,,,,,0.0004,0,0.0002,0.0014,0.7812
11450,,,,,,,,,,,0.0007,0,0,0.0016,0.774
11460,,,,,,,,,,,0.0005,0,0,0.0019,0.7617
11470,,,,,,,,,,,0.0005,0,0,0.0016,0.7517
11480,,,,,,,,,,,0.0006,0,0,0.0016,0.7439
11490,,,,,,,,,,,0.0005,0,0.0001,0.0018,0.7339
11500,,,,,,,,,,,0.0005,0,0,0.0016,0.7249
11510,,,,,,,,,,,0.0004,0,0,0.0015,0.7096
11520,,,,,,,,,,,0.0003,0,0,0.0013,0.702
11530,,,,,,,,,,,0.0002,0,0,0.0013,0.6831
11540,,,,,,,,,,,0.0004,0,0,0.0011,0.6649
11550,,,,,,,,,,,0.0003,0,0,0.0014,0.6396
11560,,,,,,,,,,,0.0003,0,0,0.0013,0.6114
11570,,,,,,,,,,,0.0005,0,0,0.0011,0.5861
11580,,,,,,,,,,,0.0002,0.0002,0,0.001,0.5525
11590,,,,,,,,,,,0.0002,0.0001,0,0.0011,0.5218
11600,,,,,,,,,,,0.0002,0.0002,0,0.0013,0.4824
11610,,,,,,,,,,,0.0003,0.0002,0,0.0008,0.4461
11620,,,,,,,,,,,0,0.0002,0,0.0002,0.4064
11630,,,,,,,,,,,0.0002,0.0002,0,0.0003,0.3589
11640,,,,,,,,,,,0.0001,0.0001,0,0.0005,0.3191
11650,,,,,,,,,,,0.0001,0.0002,0,0.0003,0.2704
11660,,,,,,,,,,,0.0002,0.0005,0,0.0004,0.2321
11670,,,,,,,,,,,0.0001,0.0002,0,0,0.1923
11680,,,,,,,,,,,0.0001,0.0005,0,0,0.1542
11690,,,,,,,,,,,0.0001,0.0004,0,0,0.126
11700,,,,,,,,,,,0,0.0006,0,0.0001,0.0961
11710,,,,,,,,,,,0.0001,0.0002,0,0,0.0766
11720,,,,,,,,,,,0.0001,0.0003,0,0,0.0561
11730,,,,,,,,,,,0.0002,0.0002,0,0.0001,0.044
11740,,,,,,,,,,,0.0002,0.0003,0,0.0001,0.0325
11750,,,,,,,,,,,0.0002,0.0004,0,0.0003,0.025
11760,,,,,,,,,,,0.0001,0.0004,0,0.0002,0.0193
11770,,,,,,,,,,,0.0002,0.0005,0,0.0001,0.0148
11780,,,,,,,,,,,0.0002,0.0003,0,0.0002,0.0125
11790,,,,,,,,,,,0.0003,0.0004,0,0.0002,0.0097
11800,,,,,,,,,,,0.0004,0.0001,0,0.0003,0.0083
11810,,,,,,,,,,,0.0005,0.0003,0.0001,0.0002,0.0068
11820,,,,,,,,,,,0.0004,0.0002,0.0002,0.0004,0.006
11830,,,,,,,,,,,0.0004,0.0002,0.0002,0.0004,0.005
11840,,,,,,,,,,,0.0005,0.0001,0.0001,0.0003,0.0045
11850,,,,,,,,,,,0.0004,0.0002,0.0002,0.0003,0.0039
11860,,,,,,,,,,,0.0005,0.0003,0.0003,0.0003,0.0035
11870,,,,,,,,,,,0.0005,0.0001,0.0003,0.0001,0.003
11880,,,,,,,,,,,0.0005,0.0001,0.0003,0.0002,0.0027
11890,,,,,,,,,,,0.0004,0.0003,0.0002,0.0001,0.0023
11900,,,,,,,,,,,0.0004,0.0001,0.0002,0,0.0021
11910,,,,,,,,,,,0.0005,0,0.0002,0,0.0018
11920,,,,,,,,,,,0.0004,0,0.0003,0,0.0018
11930,,,,,,,,,,,0.0005,0.0001,0.0002,0,0.0014
11940,,,,,,,,,,,0.0004,0.0001,0.0002,0,0.0012
11950,,,,,,,,,,,0.0004,0,0.0001,0,0.0012
11960,,,,,,,,,,,0.0004,0,0.0001,0,0.001
11970,,,,,,,,,,,0.0003,0.0001,0.0002,0,0.0008
11980,,,,,,,,,,,0.0003,0,0.0001,0,0.0006
11990,,,,,,,,,,,0.0002,0,0.0001,0,0.0005
12000,,,,,,,,,,,0.0002,0,0.0001,0,0.0004
